CISA Cross-Sector Cybersecurity Performance Goals (CPGs) to CRI Profile v2.1 Mapping,CISA Cross-Sector Cybersecurity Performance Goals (CPGs) to CRI Profile v2.1 Mapping,CISA Cross-Sector Cybersecurity Performance Goals (CPGs) to CRI Profile v2.1 Mapping,CISA Cross-Sector Cybersecurity Performance Goals (CPGs) to CRI Profile v2.1 Mapping,CISA Cross-Sector Cybersecurity Performance Goals (CPGs) to CRI Profile v2.1 Mapping,CISA Cross-Sector Cybersecurity Performance Goals (CPGs) to CRI Profile v2.1 Mapping
"
IDENTIFY",1.E,1.E Mitigating  Known Vulnerabilities: Reduce the likelihood of threat actors exploiting known vulnerabilities to breach organizational networks.,"All known exploited vulnerabilities (listed in CISA's Known Exploited Vulnerabilities Catalog - https://www.cisa.gov/known-exploited-vulnerabilities-catalog) in internet-facing systems are patched or otherwise mitigated within a risk-informed span of time, prioritizing more critical assets first.  

OT: For OT assets where patching is either not possible or may substantially compromise availability or safety, compensating controls are applied (e.g., segmentation, monitoring) and recorded. Sufficient controls should either make the asset inaccessible from the public internet or reduce the ability of threat actors to exploit the vulnerabilities in these assets.","PR.PS-02.01: The organization defines and implements controls to identify patches to technology assets, assess patch criticality and risk, test patches, and apply patches within risk/criticality-based target time frames.",PROTECT / Platform Security / Software Maintenance & Replacement
"
IDENTIFY",1.F,"1.F Third Party Validation of Cybersecurity Control Effectiveness: Identify TTPs that lack proper defenses, and establish confidence in organizational cyber defenses.","Third parties with demonstrated expertise in (IT and/or OT) cybersecurity regularly validate the effectiveness and coverage of an organization's cybersecurity defenses.  These exercises, which may include penetration tests, bug bounties, incident simulations, or table-top exercises, should include both unannounced and announced tests.

Exercises consider both the ability and impact of a potential adversary to infiltrate the network from the outside, as well as the ability of an adversary within the network (e.g., “assume breach”) to pivot laterally to demonstrate potential impact on critical systems, including operational technology and industrial control systems.

High-impact findings from previous tests are mitigated in a timely manner and are not re-observed in future tests.","ID.RA-05.04: The organization uses scenario planning, table-top-exercises, or similar event analysis techniques to identify vulnerabilities and determine potential impacts to critical infrastructure, technology, and business processes.",IDENTIFY / Risk Assessment / Risk Exposure Determination & Prioritization
"
IDENTIFY",1.F,"1.F Third Party Validation of Cybersecurity Control Effectiveness: Identify TTPs that lack proper defenses, and establish confidence in organizational cyber defenses.","Third parties with demonstrated expertise in (IT and/or OT) cybersecurity regularly validate the effectiveness and coverage of an organization's cybersecurity defenses.  These exercises, which may include penetration tests, bug bounties, incident simulations, or table-top exercises, should include both unannounced and announced tests.

Exercises consider both the ability and impact of a potential adversary to infiltrate the network from the outside, as well as the ability of an adversary within the network (e.g., “assume breach”) to pivot laterally to demonstrate potential impact on critical systems, including operational technology and industrial control systems.

High-impact findings from previous tests are mitigated in a timely manner and are not re-observed in future tests.","ID.IM-02.01: The organization conducts regular, independent penetration testing and red team testing on the organization's network, internet-facing  systems, critical applications, and associated controls to identify gaps in cybersecurity defenses.",IDENTIFY / Improvement / Tests & Exercises
"
IDENTIFY",1.G,1.G Supply Chain Incident Reporting: Organizations more rapidly learn about and respond to known incidents or breaches across vendors and service providers.,"Procurement documents and contracts, such as service-level agreements (SLAs), stipulate that vendors and/or service providers notify the procuring customer of security incidents within a risk-informed time frame as determined by the organization.","EX.CN-02.02: Minimum cybersecurity requirements for third-parties include requirements for incident and vulnerability notification, to include the types of events requiring notification, notification timeframes, and escalation protocols.",EXTEND / Third-Party Contracts and Agreements / Contract Cybersecurity-Related Requirements
"
IDENTIFY",1.H,1.H Supply Chain Vulnerability Disclosure: Organizations more rapidly learn about  and respond to vulnerabilities in assets provided by vendors and service providers.,"Procurement documents and contracts, such as SLAs, stipulate that vendors and/or service providers notify the procuring customer of confirmed security vulnerabilities in their assets within a risk-informed time frame as determined by the organization.","EX.CN-02.02: Minimum cybersecurity requirements for third-parties include requirements for incident and vulnerability notification, to include the types of events requiring notification, notification timeframes, and escalation protocols.",EXTEND / Third-Party Contracts and Agreements / Contract Cybersecurity-Related Requirements
"
IDENTIFY",1.I,1.I Vendor/Supplier Cybersecurity Requirements: Reduce risk by buying more secure products and services from more secure suppliers.,"Organizations' procurement documents include cybersecurity requirements and questions, which are evaluated in vendor selection such that, given two offerings of roughly similar cost and function, the more secure offering and/or supplier is preferred.","EX.DD-03.01: The organization reviews and evaluates a prospective critical third party's cybersecurity program, including its ability to identify, assess, monitor, and mitigate its cyber risks; the completeness of its policies and procedures; the strength of its technical and administrative controls; and the coverage of its internal and independent control testing programs.",EXTEND / Procurement Planning and Due Diligence / Technology & Cybersecurity Due Diligence
"
IDENTIFY",1.I,1.I Vendor/Supplier Cybersecurity Requirements: Reduce risk by buying more secure products and services from more secure suppliers.,"Organizations' procurement documents include cybersecurity requirements and questions, which are evaluated in vendor selection such that, given two offerings of roughly similar cost and function, the more secure offering and/or supplier is preferred.","EX.CN-02.01: The organization's contracts require third-parties to implement minimum technology and cybersecurity management requirements, to maintain those practices for the life of the relationship, and to provide evidence of compliance on an ongoing basis.",EXTEND / Third-Party Contracts and Agreements / Contract Cybersecurity-Related Requirements
"
PROTECT",2.A,2.A Changing Default Passwords: Prevent threat actors from using default passwords to achieve initial access or move laterally in a network.,"An enforced organization-wide policy and/or process that requires changing default manufacturer passwords for any/all hardware, software, and firmware before putting on any internal or external network. This includes IT assets for OT, such as OT administration web pages. 

In instances where changing default passwords is not feasible (e.g., a control system with a hard-coded password), implement and document appropriate compensating security controls, and monitor logs for network traffic and login attempts on those devices.

OT: While changing default passwords on an organization's existing OT requires significantly more work, we still recommend having such a policy to change default credentials for all new or future devices. This is not only easier to achieve, but also reduces potential risk in the future if adversary TTPs change.","PR.AA-01.01: Identities and credentials are actively managed or automated for authorized devices and users (e.g., removal of default and factory passwords, password strength requirements, automatic revocation of credentials under defined conditions, regular asset owner access review, etc.).","PROTECT / Identity Management, Authentication, and Access Control / Identity & Credential Management"
"
PROTECT",2.B,2.B Minimum Password Strength: Organizational passwords are harder for threat actors to guess or crack.,"Organizations have a system-enforced policy that requires a minimum password length of 15* or more characters for all password-protected IT assets and all OT assets, when technically feasible.** Organizations should consider leveraging passphrases and password managers to make it easier for users to maintain sufficiently long passwords. In instances where minimum password lengths are not technically feasible, compensating controls are applied and recorded, and all login attempts to those assets are logged. Assets that cannot support passwords of sufficient strength length are prioritized for upgrade or replacement. 

This goal is particularly important for organizations that lack widespread implementation of MFA and capabilities to protect against brute-force attacks (such as web application firewalls and third-party content delivery networks) or are unable to adopt passwordless authentication methods.

* Modern attacker tools can crack eight-character passwords quickly. Length is a more impactful and important factor in password strength than complexity or frequent password rotations. Long passwords are also easier for users to create and remember.

** OT assets that use a central authentication mechanism (such as Active Directory) are most important to address. Examples of low-risk OT assets that may not be technically feasible include those in remote locations, such as those on offshore rigs or on wind turbines.","PR.AA-01.01: Identities and credentials are actively managed or automated for authorized devices and users (e.g., removal of default and factory passwords, password strength requirements, automatic revocation of credentials under defined conditions, regular asset owner access review, etc.).","PROTECT / Identity Management, Authentication, and Access Control / Identity & Credential Management"
"
PROTECT",2.C,"2.C Unique Credentials: Attackers are unable to reuse compromised credentials to move laterally across the organization, particularly between IT and OT networks.","Organizations provision unique and separate credentials for similar services and asset access on  IT and OT networks.  Users do not (or cannot) reuse passwords for accounts, applications, services, etc.  Service accounts/machine accounts have passwords that are unique from all member user accounts.","PR.AA-01.01: Identities and credentials are actively managed or automated for authorized devices and users (e.g., removal of default and factory passwords, password strength requirements, automatic revocation of credentials under defined conditions, regular asset owner access review, etc.).","PROTECT / Identity Management, Authentication, and Access Control / Identity & Credential Management"
"
PROTECT",2.C,"2.C Unique Credentials: Attackers are unable to reuse compromised credentials to move laterally across the organization, particularly between IT and OT networks.","Organizations provision unique and separate credentials for similar services and asset access on  IT and OT networks.  Users do not (or cannot) reuse passwords for accounts, applications, services, etc.  Service accounts/machine accounts have passwords that are unique from all member user accounts.","PR.AA-02.01: The organization authenticates identity, validates the authorization level of a user before granting access to its systems, limits the use of an account to a single individual, and attributes activities to the user in logs and transactions.","PROTECT / Identity Management, Authentication, and Access Control / Identity Binding to Credentials"
"
PROTECT",2.C,"2.C Unique Credentials: Attackers are unable to reuse compromised credentials to move laterally across the organization, particularly between IT and OT networks.","Organizations provision unique and separate credentials for similar services and asset access on  IT and OT networks.  Users do not (or cannot) reuse passwords for accounts, applications, services, etc.  Service accounts/machine accounts have passwords that are unique from all member user accounts.","PR.AA-05.03: The organization institutes controls over service account (i.e., accounts used by systems to access other systems) lifecycles to ensure strict security over creation, use, and termination; access credentials (e.g., no embedded passwords in code); frequent reviews of account ownership; visibility for unauthorized use; and hardening against malicious insider use.","PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations"
"
PROTECT",2.D,2.D Revoking Credentials for Departing Employees: Prevent unauthorized access to organizational accounts or resources by former employees.,"A defined and enforced administrative process applied to all departing employees by the day of their departure that (1) revokes and securely returns all physical badges, key cards, tokens, etc., and (2) disables all user accounts and access to organizational resources.","GV.RR-04.02: The organization establishes processes and controls to mitigate cyber risks related to employment termination, as permitted by law, to include the return or disposition of all organizational assets.","GOVERN / Roles, Responsibilities, and Authorities / Human Resource Practices"
"
PROTECT",2.E,"2.E Separating User and Privileged Accounts: Make it harder for threat actors to gain access to administrator or privileged accounts, even if common user accounts are compromised.","No user accounts always have administrator or super-user privileges. Administrators maintain separate user accounts for all actions and activities not associated with the administrator role (e.g., for business email, web browsing). Privileges are revaluated on a recurring basis to validate continued need for a given set of permissions.","PR.AA-05.02: The organization institutes controls over privileged system access by strictly limiting and closely managing staff and services with elevated system entitlements (e.g., multi-factor authentication, dual accounts, privilege and time constraints, etc.)","PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations"
"
PROTECT",2.F,2.F Network Segmentation: Reduce the likelihood of adversaries accessing the OT network after compromising the IT network.,"All connections to the OT network are denied by default unless explicitly allowed (e.g., by IP address and port) for specific system functionality. Necessary communications paths between the IT and OT networks must pass through an intermediary, such as a properly configured firewall, bastion host, ""jump box,"" or a demilitarized zone, which is closely monitored, captures network logs, and only allows connections from approved assets.","PR.IR-01.01: Networks, systems, and external connections are segmented (e.g., using firewalls, software-defined networks, guest wireless networks, etc.) to implement defense-in-depth and access isolation principles.",PROTECT / Technology Infrastructure Resilience / Logical Access Protections
"
PROTECT",2.F,2.F Network Segmentation: Reduce the likelihood of adversaries accessing the OT network after compromising the IT network.,"All connections to the OT network are denied by default unless explicitly allowed (e.g., by IP address and port) for specific system functionality. Necessary communications paths between the IT and OT networks must pass through an intermediary, such as a properly configured firewall, bastion host, ""jump box,"" or a demilitarized zone, which is closely monitored, captures network logs, and only allows connections from approved assets.","PR.IR-01.02: Network device configurations (e.g., firewall rules, ports, and protocols) are documented, reviewed and updated regularly and upon change to ensure alignment with network access, segmentation, traversal, and deny-all default requirements.",PROTECT / Technology Infrastructure Resilience / Logical Access Protections
"
PROTECT",2.F,2.F Network Segmentation: Reduce the likelihood of adversaries accessing the OT network after compromising the IT network.,"All connections to the OT network are denied by default unless explicitly allowed (e.g., by IP address and port) for specific system functionality. Necessary communications paths between the IT and OT networks must pass through an intermediary, such as a properly configured firewall, bastion host, ""jump box,"" or a demilitarized zone, which is closely monitored, captures network logs, and only allows connections from approved assets.","PR.PS-04.01: The organization establishes and regularly reviews log management standards and practices, to include the types of events to be detected, log content, security and access considerations, monitoring protocols, integrity checking mechanisms, and retention periods.",PROTECT / Platform Security / Log Record Generation
"
PROTECT",2.F,2.F Network Segmentation: Reduce the likelihood of adversaries accessing the OT network after compromising the IT network.,"All connections to the OT network are denied by default unless explicitly allowed (e.g., by IP address and port) for specific system functionality. Necessary communications paths between the IT and OT networks must pass through an intermediary, such as a properly configured firewall, bastion host, ""jump box,"" or a demilitarized zone, which is closely monitored, captures network logs, and only allows connections from approved assets.","PR.PS-04.02: The organization defines the scope and coverage of audit/log records to be created and monitored (i.e., internal and external environments, devices, and applications/services/software to be monitored) and has controls in place to ensure that the intended scope is fully covered and that no logging failures are inhibiting the collection of required logs.",PROTECT / Platform Security / Log Record Generation
"
PROTECT",2.F,2.F Network Segmentation: Reduce the likelihood of adversaries accessing the OT network after compromising the IT network.,"All connections to the OT network are denied by default unless explicitly allowed (e.g., by IP address and port) for specific system functionality. Necessary communications paths between the IT and OT networks must pass through an intermediary, such as a properly configured firewall, bastion host, ""jump box,"" or a demilitarized zone, which is closely monitored, captures network logs, and only allows connections from approved assets.","DE.AE-03.01: The organization implements systematic and real-time logging, collection, monitoring, detection, and alerting measures across multiple layers of the organization's infrastructure, including physical perimeters, network, operating systems, applications, data, and external (cloud and outsourced) environments, sufficient to protect the organization's information assets.",DETECT / Adverse Event Analysis / Event Information Correlation
"
PROTECT",2.G,"2.G Detection of Unsuccessful (Automated) Login Attempts: Protect organizations from automated, credential-based attacks.","All unsuccessful logins are logged and sent to an organization's security team or relevant logging system. Security teams are notified (e.g., by an alert) after a specific number of consecutive, unsuccessful login attempts in a short period (e.g., five failed attempts in two minutes). This alert is logged and stored in the relevant security or ticketing system for retroactive analysis. 

For IT assets, a system-enforced policy prevents future logins for the suspicious account. For example, this could be for some minimum time, or until the account is re-enabled by a privileged user. This configuration is enabled when available on an asset. For example, Windows 11 can automatically lock out accounts for 10 minutes after 10 incorrect logins over a 10-minute period.","PR.AA-03.01: Based on the risk level of a user access or a specific transaction, the organization defines and implements authentication requirements, which may include multi-factor or out-of-band authentication, and may adopt other real-time risk prevention or mitigation tactics.","PROTECT / Identity Management, Authentication, and Access Control / Authentication"
"
PROTECT",2.G,"2.G Detection of Unsuccessful (Automated) Login Attempts: Protect organizations from automated, credential-based attacks.","All unsuccessful logins are logged and sent to an organization's security team or relevant logging system. Security teams are notified (e.g., by an alert) after a specific number of consecutive, unsuccessful login attempts in a short period (e.g., five failed attempts in two minutes). This alert is logged and stored in the relevant security or ticketing system for retroactive analysis. 

For IT assets, a system-enforced policy prevents future logins for the suspicious account. For example, this could be for some minimum time, or until the account is re-enabled by a privileged user. This configuration is enabled when available on an asset. For example, Windows 11 can automatically lock out accounts for 10 minutes after 10 incorrect logins over a 10-minute period.","DE.CM-03.02: The organization's controls actively monitor personnel (both authorized and unauthorized) for access, authentication, usage, connections, devices, and anomalous behavior to rapidly detect potential cybersecurity events.",DETECT / Continuous Monitoring / Personnel Activity Monitoring
"
PROTECT",2.H,"2.H Phishing-Resistant Multifactor Authentication (MFA): Add a critical, additional layer of security to protect assets accounts whose credentials have been compromised.","Organizations implement MFA for access to assets using the strongest available method for that asset (see below for scope). MFA options sorted by strength, high to low, are as follows:
1. Hardware-based, phishing-resistant MFA (e.g., FIDO/WebAuthn or public key infrastructure (PKI)-based – see CISA guidance in “Resources”);
2. If such hardware-based MFA is not available, then mobile app-based soft tokens (preferably push notification with number matching) or emerging technology such as FIDO passkeys are used;
3. MFA via short message service (SMS) or voice only used when no other options are possible.

IT: All IT accounts leverage MFA to access organizational resources. Prioritize accounts with highest risk, such as privileged administrative accounts for key IT systems.

OT: Within OT environments, MFA is enabled on all accounts and systems that can be accessed remotely, including vendors/maintenance accounts, remotely accessible user and engineering workstations, and remotely accessible HMIs.","PR.IR-01.05: Remote access is carefully controlled (e.g., restricted to defined systems, access is actively managed (e.g., session timeouts, logging, forced disconnect, etc.), and encrypted connections with multi-factor authentication are used).",PROTECT / Technology Infrastructure Resilience / Logical Access Protections
"
PROTECT",2.H,"2.H Phishing-Resistant Multifactor Authentication (MFA): Add a critical, additional layer of security to protect assets accounts whose credentials have been compromised.","Organizations implement MFA for access to assets using the strongest available method for that asset (see below for scope). MFA options sorted by strength, high to low, are as follows:
1. Hardware-based, phishing-resistant MFA (e.g., FIDO/WebAuthn or public key infrastructure (PKI)-based – see CISA guidance in “Resources”);
2. If such hardware-based MFA is not available, then mobile app-based soft tokens (preferably push notification with number matching) or emerging technology such as FIDO passkeys are used;
3. MFA via short message service (SMS) or voice only used when no other options are possible.

IT: All IT accounts leverage MFA to access organizational resources. Prioritize accounts with highest risk, such as privileged administrative accounts for key IT systems.

OT: Within OT environments, MFA is enabled on all accounts and systems that can be accessed remotely, including vendors/maintenance accounts, remotely accessible user and engineering workstations, and remotely accessible HMIs.","PR.AA-05.02: The organization institutes controls over privileged system access by strictly limiting and closely managing staff and services with elevated system entitlements (e.g., multi-factor authentication, dual accounts, privilege and time constraints, etc.)","PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations"
"
PROTECT",2.H,"2.H Phishing-Resistant Multifactor Authentication (MFA): Add a critical, additional layer of security to protect assets accounts whose credentials have been compromised.","Organizations implement MFA for access to assets using the strongest available method for that asset (see below for scope). MFA options sorted by strength, high to low, are as follows:
1. Hardware-based, phishing-resistant MFA (e.g., FIDO/WebAuthn or public key infrastructure (PKI)-based – see CISA guidance in “Resources”);
2. If such hardware-based MFA is not available, then mobile app-based soft tokens (preferably push notification with number matching) or emerging technology such as FIDO passkeys are used;
3. MFA via short message service (SMS) or voice only used when no other options are possible.

IT: All IT accounts leverage MFA to access organizational resources. Prioritize accounts with highest risk, such as privileged administrative accounts for key IT systems.

OT: Within OT environments, MFA is enabled on all accounts and systems that can be accessed remotely, including vendors/maintenance accounts, remotely accessible user and engineering workstations, and remotely accessible HMIs.","PR.AA-03.01: Based on the risk level of a user access or a specific transaction, the organization defines and implements authentication requirements, which may include multi-factor or out-of-band authentication, and may adopt other real-time risk prevention or mitigation tactics.","PROTECT / Identity Management, Authentication, and Access Control / Authentication"
"
PROTECT",2.I,2.I Basic Cybersecurity Training: Organizational users learn and perform more secure behaviors,"At least annual trainings for all organizational employees and contractors that cover basic security concepts, such as phishing, business email compromise, basic operational security, password security, etc., as well as foster an internal culture of security and cyber awareness.

New employees receive initial cybersecurity training within 10 days of onboarding and recurring training on at least an annual basis.",PR.AT-01.01: All personnel receive cybersecurity awareness training upon hire and on a regular basis.,PROTECT / Awareness and Training / User Awareness & Training
"
PROTECT",2.I,2.I Basic Cybersecurity Training: Organizational users learn and perform more secure behaviors,"At least annual trainings for all organizational employees and contractors that cover basic security concepts, such as phishing, business email compromise, basic operational security, password security, etc., as well as foster an internal culture of security and cyber awareness.

New employees receive initial cybersecurity training within 10 days of onboarding and recurring training on at least an annual basis.","PR.AT-01.02: Cybersecurity awareness training includes, at a minimum, awareness of and competencies for data protection, personal data handling, compliance obligations, working with third parties, detecting cyber risks, and how to report any unusual activity or incidents.",PROTECT / Awareness and Training / User Awareness & Training
"
PROTECT",2.J,2.J OT Cybersecurity Training: Personnel responsible for securing OT assets received specialized OT-focused cybersecurity training.,"In addition to basic cybersecurity training, personnel who maintain or secure OT as part of their regular duties receive OT-specific cybersecurity training on at least an annual basis.","PR.AT-02.02: High-risk groups, such as those with elevated privileges or in sensitive business functions (including privileged users, senior executives, cybersecurity personnel and third-party stakeholders), receive cybersecurity situational awareness training for their roles and responsibilities.",PROTECT / Awareness and Training / Specialized Role Awareness & Training
"
PROTECT",2.K,2.K Strong and Agile Encryption: Effective encryption deployed to maintain confidentiality of sensitive data and integrity of IT and OT traffic,"Properly configured and up-to-date secure socket layer (SSL) / transport layer security (TLS) is utilized to protect data in transit, when technically feasible.  Organizations should also plan to identify any use of outdated or weak encryption, update these to sufficiently strong algorithms, and consider managing the implications of post-quantum cryptography. 

OT: To minimize the impact to latency and availability, encryption is used when feasible, usually for OT communications connecting with remote/external assets.","PR.PS-01.05: Acceptable encryption standards, methods, and management practices are established in accordance with defined industry standards.",PROTECT / Platform Security / Configuration Management
"
PROTECT",2.K,2.K Strong and Agile Encryption: Effective encryption deployed to maintain confidentiality of sensitive data and integrity of IT and OT traffic,"Properly configured and up-to-date secure socket layer (SSL) / transport layer security (TLS) is utilized to protect data in transit, when technically feasible.  Organizations should also plan to identify any use of outdated or weak encryption, update these to sufficiently strong algorithms, and consider managing the implications of post-quantum cryptography. 

OT: To minimize the impact to latency and availability, encryption is used when feasible, usually for OT communications connecting with remote/external assets.",PR.PS-01.06: The organization employs defined encryption methods and management practices commensurate with the criticality of the information being protected and the inherent risk of the technical environment where used.,PROTECT / Platform Security / Configuration Management
"
PROTECT",2.L,2.L Secure Sensitive Data: Protect sensitive information from unauthorized access.,"Sensitive data, including credentials, are not stored in plaintext anywhere in the organization and can only be accessed by authenticated and authorized users. Credentials are stored in a secure manner, such as with a credential/password manager or vault, or other privileged account management solution.","PR.DS-01.01: Data-at-rest is protected commensurate with the criticality and sensitivity of the information and in alignment with the data classification and protection policy (e.g., through the use of encryption, authentication, access control, segregation, masking, tokenization, and file integrity monitoring).",PROTECT / Data Security / Protection of Data at Rest
"
PROTECT",2.M,"2.M Email Security: Reduce risk from common email-based threats, such as spoofing, phishing, and interception.","On all corporate email infrastructure (1) STARTTLS is enabled, (2) Sender Policy Framework (SPF) and DomainKeys Identified Mail (DKIM) are enabled, and (3) Domain-based Message Authentication, Reporting, and Conformance (DMARC) is enabled and set to ""reject."" For further examples and information, see CISA’s past guidance for federal agencies at: https://www.cisa.gov/binding-operational-directive-18-01","PR.AA-03.03: The organization reduces fraudulent activity and protects reputational integrity through email verification mechanisms (e.g., DMARC, DKIM), call-back verification, secure file exchange facilities, out-of-band communications, customer outreach and education, and other tactics designed to thwart imposters and fraudsters.","PROTECT / Identity Management, Authentication, and Access Control / Authentication"
"
PROTECT",2.M,"2.M Email Security: Reduce risk from common email-based threats, such as spoofing, phishing, and interception.","On all corporate email infrastructure (1) STARTTLS is enabled, (2) Sender Policy Framework (SPF) and DomainKeys Identified Mail (DKIM) are enabled, and (3) Domain-based Message Authentication, Reporting, and Conformance (DMARC) is enabled and set to ""reject."" For further examples and information, see CISA’s past guidance for federal agencies at: https://www.cisa.gov/binding-operational-directive-18-01","PR.PS-05.03: The organization has policies, procedures, and tools in place to detect, isolate, and block the use of attached malware or malicious links present in email or message services.",PROTECT / Platform Security / Unauthorized Software Installation & Execution
"
PROTECT",2.N,"2.N Disable Macros by Default: Reduce the risk from embedded macros and similar executive code, a common and highly effective threat actor TTP.","A system-enforced policy that disables Microsoft Office macros, or similar embedded code, by default on all devices. If macros must be enabled in specific circumstances, there is a policy for authorized users to request that macros are enabled on specific assets.","PR.PS-05.01: The organization has policies, procedures, and tools in place to detect and block malware from infecting networks and systems, including automatically updating malware signatures and behavior profiles on all endpoints.",PROTECT / Platform Security / Unauthorized Software Installation & Execution
