,"The CRI Profile, ver. 2.1","The CRI Profile, ver. 2.1","The CRI Profile, ver. 2.1",
,      - Each Profile diagnostic statement has one or more EEE Packages associated with it to cover the types of evidence that might demonstrate alignment to the control objective.,      - Each Profile diagnostic statement has one or more EEE Packages associated with it to cover the types of evidence that might demonstrate alignment to the control objective.,      - Each Profile diagnostic statement has one or more EEE Packages associated with it to cover the types of evidence that might demonstrate alignment to the control objective.,
,      - Each EEE package has mulitple example evidence items that can be considered to meet the Package coverage area.,      - Each EEE package has mulitple example evidence items that can be considered to meet the Package coverage area.,      - Each EEE package has mulitple example evidence items that can be considered to meet the Package coverage area.,
,"      - The EEE Packages, example evidence items, and diagnostic statement associations are provided in three different worksheets (see below).",,,
,4.  Short names for each diagnostic statement have been added in column D of the Assessment worksheet.,4.  Short names for each diagnostic statement have been added in column D of the Assessment worksheet.,4.  Short names for each diagnostic statement have been added in column D of the Assessment worksheet.,
1B,CRI Profile Version 2.1 Guidebook and Training Videos,CRI Profile Version 2.1 Guidebook and Training Videos,CRI Profile Version 2.1 Guidebook and Training Videos,CRI Profile Version 2.1 Guidebook and Training Videos
,"Users of the CRI Profile are encouraged to also reference the pdf document ""CRI Profile ver. 2.1 Guidebook,"" which provides additional Profile background information, assessment guidance, and a reference of diagnostic statement information.","Users of the CRI Profile are encouraged to also reference the pdf document ""CRI Profile ver. 2.1 Guidebook,"" which provides additional Profile background information, assessment guidance, and a reference of diagnostic statement information.","Users of the CRI Profile are encouraged to also reference the pdf document ""CRI Profile ver. 2.1 Guidebook,"" which provides additional Profile background information, assessment guidance, and a reference of diagnostic statement information.",
,Various CRI Profile training videos are additionally available from CRI.,,,
2,Acknowledgements,Acknowledgements,Acknowledgements,Acknowledgements
,"The CRI Profile is the result of tremendous effort from many organizations of varying sizes and complexities. We want to extend our gratitude to the financial institutions, regulatory groups, and other organizations who contributed to this initiative. We want to particularly thank BCG Platinion, which provided initial support to the Profile's development, and EY which provided expertise and manpower to this important sector initiative. We also want to thank our 90+ member organizations, our CRI Board of Directors, which provided the strategic guidance, and the CRI Profile Architecture Working Group, which reviewed and validated all of the Profile's content and mappings. Finally, we want to acknowledge CRI's John Goodman and Emily Beam for their tireless thought leadership, contracting oversight, and member engagement on the largest Profile update to date.","The CRI Profile is the result of tremendous effort from many organizations of varying sizes and complexities. We want to extend our gratitude to the financial institutions, regulatory groups, and other organizations who contributed to this initiative. We want to particularly thank BCG Platinion, which provided initial support to the Profile's development, and EY which provided expertise and manpower to this important sector initiative. We also want to thank our 90+ member organizations, our CRI Board of Directors, which provided the strategic guidance, and the CRI Profile Architecture Working Group, which reviewed and validated all of the Profile's content and mappings. Finally, we want to acknowledge CRI's John Goodman and Emily Beam for their tireless thought leadership, contracting oversight, and member engagement on the largest Profile update to date.","The CRI Profile is the result of tremendous effort from many organizations of varying sizes and complexities. We want to extend our gratitude to the financial institutions, regulatory groups, and other organizations who contributed to this initiative. We want to particularly thank BCG Platinion, which provided initial support to the Profile's development, and EY which provided expertise and manpower to this important sector initiative. We also want to thank our 90+ member organizations, our CRI Board of Directors, which provided the strategic guidance, and the CRI Profile Architecture Working Group, which reviewed and validated all of the Profile's content and mappings. Finally, we want to acknowledge CRI's John Goodman and Emily Beam for their tireless thought leadership, contracting oversight, and member engagement on the largest Profile update to date.",
3,Document Structure,Document Structure,Document Structure,Document Structure
,The CRI Profile v2.1 consists of multiple worksheet tabs to identify regulatory expectations within various frameworks and align them to the CRI Profile v2.1.,The CRI Profile v2.1 consists of multiple worksheet tabs to identify regulatory expectations within various frameworks and align them to the CRI Profile v2.1.,The CRI Profile v2.1 consists of multiple worksheet tabs to identify regulatory expectations within various frameworks and align them to the CRI Profile v2.1.,
,Worksheet,Worksheet Description,Purpose,
,User Guide,"Introduces the CRI Profile v2.1, its structure, and provides guidance on how to use the document.",Provides guidance on how to use the CRI Profile.,
,Impact Tiering Questionnaire,"This worksheet contains the CRI Impact Tiering Questionnaire, which will prompt a user to answer a set of self-assessment questions to customize the Profile assessment based on an individual institution's risk and activities. When the organizations's Tier level has been determined using the questionnaire, the value should be entered into cell I2 in the Profile Assessment worksheet.",Provides an institution the ability to adjust the number of diagnostic statements applicable to identify gaps and implement a plan to remediate depending on its risk posture in recognition that each organization has a different risk environment and tolerance.,
,CRI Profile v2.1 Structure,"This worksheet contains the CRI Profile v2.1 diagnostic statements grouped by Function, Category, and Subcategory. It indicates the applicability of each diagnostic statement to each Tier level and tag. Tags provide an overview of key words that are applicable to each diagnostic statement so organizations can easily filter and categorize diagnostic statements.","Provides a connection between seven functions of (1) Govern, (2) Identify, (3) Protect, (4) Detect, (5) Respond, (6) Recover, and (7) Extend to Diagnostic Statements and existing financial sector compliance requirements and sector-agnostic informative references. It also provides a view for an individual institution to filter by Tier level and tag to view the applicable CRI Profile v2.1 diagnostic statements. Its flexible structure makes the Profile possible to address the needs of industries beyond financial services. ",
,CRI Profile v2.1 Assessment,"This worksheet contains the CRI Profile v2.1 diagnostic statements grouped by Function, Category, and Subcategory. It indicates the applicability of each diagnostic statement to each Tier level. Each statement is given an assessment rating with a supporting rationale and evidence provided to justify the rating given.","Provides a connection between seven functions of (1) Govern, (2) Identify, (3) Protect, (4) Detect, (5) Respond, (6) Recover, and (7) Extend into Diagnostic Statements with existing compliance requirements and informative references which makes it flexible to address the needs of industries beyond the financial services. It also provides a view for an individual institution to filter by Tier level and tag to view the applicable CRI Profile v2.1 diagnostic statements. In addition, it gives the financial institutions the ability to view their posture against the CRI Profile to be utilized in their decision-making process. ",
,Assessment Response Summary,"Provides a summary of the financial institution's responses to the assessment scores for each function, category and subcategory of the CRI Profile by completing the assessment ratings in the ""CRI Profile v2.1"" tab.",Provides a mechanism for financial institutions to understand their posture against the CRI Profile to enable for informed decision-making and targeted improvements.,
,Diagnostic Statements by Tag,This worksheet contains the CRI Profile v2.1 diagnostic statements grouped into subject tags.,"Provides a different connection between the diagnostic statements separated by their aligning topic so organizations have the ability to list, sort and filter diagnostic statements by these subject tags.",
,Subject Tag List,This worksheet contains the number of diagnostic statements within each of the subject tags.,Provides an overview of the amount of diagnostic statements each subject tags covers.,
,EEE Packages,This worksheet contains a listing of the unique EEE packages and the examples of evidence items that might be included in each package. ,Provides the example evidence items organized by EEE packages.,
,DS EEE Packages,This worksheet contains the EEE packages and example evidence items for each Profile diagnostic statement.,Provides the EEE packages and example evidence items for each diagnostic statement.,
,Catalog of Mapped Documents,"This worksheet contains a listing of regulations, guidance, and framework documents that the CRI Profile v2.1 has been mapped to, including document name, issuing organization, date of issuance, region, and a link to the source document. The mappings are provided in a separate Excel workbook named ""CRI Profile ver. 2.1 Mapping Catalog"".",Provides a listing of all supervisory expectations and other industry standards  that the CRI Profile v2.1 diagnostic statements have been mapped to. ,
,NIST CSF v2 Mapping,This worksheet contains a mapping of the CRI Profile v2.1 diagnostic statements to the NIST Cybersecurity Framework ver. 2.0.,Provides a listing of all supervisory expectations and other industry standards  that the CRI Profile v2.1 diagnostic statements have been mapped to. ,
4,How to Use the Document,How to Use the Document,How to Use the Document,How to Use the Document
,This section of the user guide details instructions on how to effectively navigate this workbook that has been specifically designed to offer users step-by-step guidance to ensure a consistent implementation approach across the financial services industry.,This section of the user guide details instructions on how to effectively navigate this workbook that has been specifically designed to offer users step-by-step guidance to ensure a consistent implementation approach across the financial services industry.,This section of the user guide details instructions on how to effectively navigate this workbook that has been specifically designed to offer users step-by-step guidance to ensure a consistent implementation approach across the financial services industry.,
4A,Impact Tiering Questionnaire,Impact Tiering Questionnaire,Impact Tiering Questionnaire,Impact Tiering Questionnaire
,"The Impact Tiering Questionnaire is the first worksheet that will be accessed by the financial institution to self-assess and customize the Profile based on an individual institution's risk and activities. The Profile may assist institutions in assessing their technology and cybersecurity risk management governance, processes, capabilities, and regulatory compliance posture as expected with the various Impact Tiers to which they correspond. In understanding their posture, institutions can then develop plans to close any identified gaps. 

Each tier corresponds with the impact that an institution would have on the global, national, sector, or local market if substantially affected by a cybersecurity event.  These “Impact Tiers” are as follows:","The Impact Tiering Questionnaire is the first worksheet that will be accessed by the financial institution to self-assess and customize the Profile based on an individual institution's risk and activities. The Profile may assist institutions in assessing their technology and cybersecurity risk management governance, processes, capabilities, and regulatory compliance posture as expected with the various Impact Tiers to which they correspond. In understanding their posture, institutions can then develop plans to close any identified gaps. 

Each tier corresponds with the impact that an institution would have on the global, national, sector, or local market if substantially affected by a cybersecurity event.  These “Impact Tiers” are as follows:","The Impact Tiering Questionnaire is the first worksheet that will be accessed by the financial institution to self-assess and customize the Profile based on an individual institution's risk and activities. The Profile may assist institutions in assessing their technology and cybersecurity risk management governance, processes, capabilities, and regulatory compliance posture as expected with the various Impact Tiers to which they correspond. In understanding their posture, institutions can then develop plans to close any identified gaps. 

Each tier corresponds with the impact that an institution would have on the global, national, sector, or local market if substantially affected by a cybersecurity event.  These “Impact Tiers” are as follows:",
,"Tier 1: National/Super-National Impact – These institutions are designated most critical by one or more global regulatory agencies and/or bodies (e.g., the Basel Committee’s Global Systemically Important Bank (GSIB) designation or Executive Order 13636’s Section 9 designation). This category assumes the gross cyber risk exposure of an institution or service categorized as Tier 1 would have the most potential adverse impact to the overall stability of a national economy, and potentially, the global market.

Tier 2: Subnational Impact – These institutions provide mission critical services with millions of customer accounts. This category assumes the gross cyber risk exposure of an institution or service would have the potential for a substantial adverse impact to the financial services sector and subnational regional economy but does not rise to the level of Tier 1.

Tier 3: Sector Impact – These institutions have a high degree of interconnectedness, with certain institutions acting as key nodes within, and for, the sector. The nature of the services that these institutions provide to the sector plays a significant role in determining their criticality.

Tier 4: Localized Impact – These institutions have a limited impact on the overall financial services sector and national economy. Typical characteristics include: (a) institutions with a local presence and less than 1 million customers (e.g., community banks, state banks) and (b) providers of low criticality services.","Tier 1: National/Super-National Impact – These institutions are designated most critical by one or more global regulatory agencies and/or bodies (e.g., the Basel Committee’s Global Systemically Important Bank (GSIB) designation or Executive Order 13636’s Section 9 designation). This category assumes the gross cyber risk exposure of an institution or service categorized as Tier 1 would have the most potential adverse impact to the overall stability of a national economy, and potentially, the global market.

Tier 2: Subnational Impact – These institutions provide mission critical services with millions of customer accounts. This category assumes the gross cyber risk exposure of an institution or service would have the potential for a substantial adverse impact to the financial services sector and subnational regional economy but does not rise to the level of Tier 1.

Tier 3: Sector Impact – These institutions have a high degree of interconnectedness, with certain institutions acting as key nodes within, and for, the sector. The nature of the services that these institutions provide to the sector plays a significant role in determining their criticality.

Tier 4: Localized Impact – These institutions have a limited impact on the overall financial services sector and national economy. Typical characteristics include: (a) institutions with a local presence and less than 1 million customers (e.g., community banks, state banks) and (b) providers of low criticality services.","Tier 1: National/Super-National Impact – These institutions are designated most critical by one or more global regulatory agencies and/or bodies (e.g., the Basel Committee’s Global Systemically Important Bank (GSIB) designation or Executive Order 13636’s Section 9 designation). This category assumes the gross cyber risk exposure of an institution or service categorized as Tier 1 would have the most potential adverse impact to the overall stability of a national economy, and potentially, the global market.

Tier 2: Subnational Impact – These institutions provide mission critical services with millions of customer accounts. This category assumes the gross cyber risk exposure of an institution or service would have the potential for a substantial adverse impact to the financial services sector and subnational regional economy but does not rise to the level of Tier 1.

Tier 3: Sector Impact – These institutions have a high degree of interconnectedness, with certain institutions acting as key nodes within, and for, the sector. The nature of the services that these institutions provide to the sector plays a significant role in determining their criticality.

Tier 4: Localized Impact – These institutions have a limited impact on the overall financial services sector and national economy. Typical characteristics include: (a) institutions with a local presence and less than 1 million customers (e.g., community banks, state banks) and (b) providers of low criticality services.",
,"Once an institution determines its Impact Tier by completing the Impact Tiering Questionnaire, the institution should assess itself against the corresponding Diagnostic Statements, found within the CRI Profile v2.1.  This is done by entering the organization's Tier level, as determined by using the questionnaire, into cell I2 of the CRI Profile v2.1 Assessment worksheet.  Doing this will set the indicators of which Diagnostic Statements need to be assessed, and which are Not Applicable, in column I.

Based on self-assessment of the diagnostic statements, the institution should be able to identify shortcomings and gaps within its technology and cybersecurity risk management governance, processes, capabilities, and regulatory compliance posture. Plans should develop and implement a plan to close these gaps and address shortcomings to satisfy the expectations of its determined Impact Tier. ","Once an institution determines its Impact Tier by completing the Impact Tiering Questionnaire, the institution should assess itself against the corresponding Diagnostic Statements, found within the CRI Profile v2.1.  This is done by entering the organization's Tier level, as determined by using the questionnaire, into cell I2 of the CRI Profile v2.1 Assessment worksheet.  Doing this will set the indicators of which Diagnostic Statements need to be assessed, and which are Not Applicable, in column I.

Based on self-assessment of the diagnostic statements, the institution should be able to identify shortcomings and gaps within its technology and cybersecurity risk management governance, processes, capabilities, and regulatory compliance posture. Plans should develop and implement a plan to close these gaps and address shortcomings to satisfy the expectations of its determined Impact Tier. ","Once an institution determines its Impact Tier by completing the Impact Tiering Questionnaire, the institution should assess itself against the corresponding Diagnostic Statements, found within the CRI Profile v2.1.  This is done by entering the organization's Tier level, as determined by using the questionnaire, into cell I2 of the CRI Profile v2.1 Assessment worksheet.  Doing this will set the indicators of which Diagnostic Statements need to be assessed, and which are Not Applicable, in column I.

Based on self-assessment of the diagnostic statements, the institution should be able to identify shortcomings and gaps within its technology and cybersecurity risk management governance, processes, capabilities, and regulatory compliance posture. Plans should develop and implement a plan to close these gaps and address shortcomings to satisfy the expectations of its determined Impact Tier. ",
4B,CRI Profile v2.1 Assessment Worksheet,CRI Profile v2.1 Assessment Worksheet,CRI Profile v2.1 Assessment Worksheet,CRI Profile v2.1 Assessment Worksheet
,"When a user first accesses this sheet, they should select the appropriate target assessment tier for the financial institution in cell I2. The worksheet is configured to adjust the list of Diagnostic Statements for the selected target assessment level.

This worksheet will provide the applicable CRI Profile v2.1 diagnostic statements based on the targeted assessment level: ","When a user first accesses this sheet, they should select the appropriate target assessment tier for the financial institution in cell I2. The worksheet is configured to adjust the list of Diagnostic Statements for the selected target assessment level.

This worksheet will provide the applicable CRI Profile v2.1 diagnostic statements based on the targeted assessment level: ","When a user first accesses this sheet, they should select the appropriate target assessment tier for the financial institution in cell I2. The worksheet is configured to adjust the list of Diagnostic Statements for the selected target assessment level.

This worksheet will provide the applicable CRI Profile v2.1 diagnostic statements based on the targeted assessment level: ",
,Section,Section Description,Section Description,
,CRI Profile v2.1 Assessment (Columns A-N),"Columns A - E:
Hierarchically organized and labeled with the various Functions (F), Categories (C), Subcategories (S), and Diagnostic Statements (DS) to provide the financial institution a way to navigate for the information required.

There are seven overarching functions: (1) Govern, (2) Identify, (3) Detect, (4) Protect, (5) Respond, (6) Recover, and (7) Extend. These are adapted from the NIST Cybersecurity Framework, CPMI-IOSCO, and financial sector supervisory guidelines to more closely align with the financial services sector approach to cybersecurity.

Functions are subdivided into more specific concept Categories (Categories). 

Categories are sub-divided into Subcategories (Subcategories), which are designed to reflect a particular element of an effective technology and cybersecurity risk management program.  

Each Subcategory is associated with at least one Diagnostic Statement, which are designed to assess an institution's own technology and cybersecurity risk management programs. 

These columns reflect the CRI Profile v2.1 Functions, Categories, Subcategories, and Diagnostic Statements that institutions use to assess their technology and cybersecurity risk management programs.","Columns A - E:
Hierarchically organized and labeled with the various Functions (F), Categories (C), Subcategories (S), and Diagnostic Statements (DS) to provide the financial institution a way to navigate for the information required.

There are seven overarching functions: (1) Govern, (2) Identify, (3) Detect, (4) Protect, (5) Respond, (6) Recover, and (7) Extend. These are adapted from the NIST Cybersecurity Framework, CPMI-IOSCO, and financial sector supervisory guidelines to more closely align with the financial services sector approach to cybersecurity.

Functions are subdivided into more specific concept Categories (Categories). 

Categories are sub-divided into Subcategories (Subcategories), which are designed to reflect a particular element of an effective technology and cybersecurity risk management program.  

Each Subcategory is associated with at least one Diagnostic Statement, which are designed to assess an institution's own technology and cybersecurity risk management programs. 

These columns reflect the CRI Profile v2.1 Functions, Categories, Subcategories, and Diagnostic Statements that institutions use to assess their technology and cybersecurity risk management programs.",
,CRI Profile v2.1 Assessment (Columns A-N),"Columns F - I:
Identifies the in-scope Functions, Categories, Subcategories, and Diagnostic Statements based upon the different Impact Tiers.","Columns F - I:
Identifies the in-scope Functions, Categories, Subcategories, and Diagnostic Statements based upon the different Impact Tiers.",
,CRI Profile v2.1 Assessment (Columns A-N),"Columns J - L (To be completed by the financial institution):  
Financial institutions should navigate to Diagnostic Statements indicated with ""To Be Assessed"" to identify the in-scope Diagnostic Statements for their Impact Tier. After assessing the institution's cybersecurity program, use the drop-down selection and respond with the appropriate implementation status:
  - Yes: All of the control outcome(s) described in the Profile Diagnostic Statement are assessed and/or tested on a regular basis and are demonstrated to be designed and operating reliably in the organizational environment.
  - Yes-Risk Based: All of the control outcome(s) described in the Profile Diagnostic Statement are assessed and/or tested on a regular basis and are demonstrated to have been designed and operating reliably for the highest-risk assets, or highest-risk control functions, in organizational environment.
  - Yes-Compensating Control: Achievement of the control outcome(s) has/have been met by using compensating controls.
  - No: The control outcome(s) described in the Profile Diagnostic Statement have not been meaningfully implemented.
  - Partial: A meaningful subset of the control outcome(s) described in the Profile Diagnostic Statement are assessed and/or tested on a regular basis and are demonstrated to have been designed and operating reliably in the organizational environment.
  - To Be Determined: The achievement of outcome(s) for the Profile Diagnostic Statement has not yet been assessed or determined.
  - Not Tested: An institution might select this response if it has yet to test controls associated with the Diagnostic Statement.
  - Not Applicable: The Profile Diagnostic Statement has been determined to be not applicable to the with other relevant stakeholders within the institution to determine the most accurate response.","Columns J - L (To be completed by the financial institution):  
Financial institutions should navigate to Diagnostic Statements indicated with ""To Be Assessed"" to identify the in-scope Diagnostic Statements for their Impact Tier. After assessing the institution's cybersecurity program, use the drop-down selection and respond with the appropriate implementation status:
  - Yes: All of the control outcome(s) described in the Profile Diagnostic Statement are assessed and/or tested on a regular basis and are demonstrated to be designed and operating reliably in the organizational environment.
  - Yes-Risk Based: All of the control outcome(s) described in the Profile Diagnostic Statement are assessed and/or tested on a regular basis and are demonstrated to have been designed and operating reliably for the highest-risk assets, or highest-risk control functions, in organizational environment.
  - Yes-Compensating Control: Achievement of the control outcome(s) has/have been met by using compensating controls.
  - No: The control outcome(s) described in the Profile Diagnostic Statement have not been meaningfully implemented.
  - Partial: A meaningful subset of the control outcome(s) described in the Profile Diagnostic Statement are assessed and/or tested on a regular basis and are demonstrated to have been designed and operating reliably in the organizational environment.
  - To Be Determined: The achievement of outcome(s) for the Profile Diagnostic Statement has not yet been assessed or determined.
  - Not Tested: An institution might select this response if it has yet to test controls associated with the Diagnostic Statement.
  - Not Applicable: The Profile Diagnostic Statement has been determined to be not applicable to the with other relevant stakeholders within the institution to determine the most accurate response.",
,CRI Profile v2.1 Assessment (Columns A-N),"Columns M - N:
Column M provides explanatory guidance for each diagnostic statement for the financial institution to consider when completing the assessment. Column N provides examples of commonly used artifacts and evidence to support an assessment of each given diagnostic statement.","Columns M - N:
Column M provides explanatory guidance for each diagnostic statement for the financial institution to consider when completing the assessment. Column N provides examples of commonly used artifacts and evidence to support an assessment of each given diagnostic statement.",
,CRI Profile v2.1 Assessment (Columns A-N),"Column O:
Reflects the CRI Profile v2.1 subject tags that apply to the given Diagnostic Statement based upon the information reflected within the statement. ","Column O:
Reflects the CRI Profile v2.1 subject tags that apply to the given Diagnostic Statement based upon the information reflected within the statement. ",
5,Re-evaluation,Re-evaluation,Re-evaluation,Re-evaluation
,"An individual institution should repeat the self-assessment and gap-closing process periodically, or upon an event, which warrants a re-evaluation of their Impact Tier, such as:","An individual institution should repeat the self-assessment and gap-closing process periodically, or upon an event, which warrants a re-evaluation of their Impact Tier, such as:","An individual institution should repeat the self-assessment and gap-closing process periodically, or upon an event, which warrants a re-evaluation of their Impact Tier, such as:",
,•        Acquisition of another entity;,•        Acquisition of another entity;,•        Acquisition of another entity;,
