CRI Profile ver. 2.1 - Examples of Effective Evidence (EEE) Packages,CRI Profile ver. 2.1 - Examples of Effective Evidence (EEE) Packages,CRI Profile ver. 2.1 - Examples of Effective Evidence (EEE) Packages
EEE-025,Vendor Contingency and Risk Mitigation Documentation,"- Contingency plans that outline alternative solutions in case of vendor failure or service disruption.
- Risk assessments that identify potential points of failure with vendors and corresponding contingency options.
- Documentation of the evaluation and selection process for alternative vendors or solutions.
- Communication plans for engaging with alternative vendors during a contingency event.
- Test results from contingency plan exercises, demonstrating the viability of alternative solutions."
EEE-026,Third-Party Termination and Decommissioning Documentation,"- Termination procedures and checklists that outline the steps for ending a relationship with a third party.
- Documentation of data retrieval or transfer processes upon termination of a third-party contract.
- Records of final account settlements and confirmations of service discontinuation.
- Technical closure reports that confirm the secure decommissioning of third-party services and systems.
- Exit interview records or final performance reviews with the third party, capturing lessons learned and final assessments."
EEE-027,Security Event Detection and Categorization Guidelines,"- Documentation of the security information and event management (SIEM) system configuration and operational procedures.
- Incident categorization guidelines that define types of incidents and their corresponding response protocols.
- Logs and reports from the SIEM system demonstrating the detection of security events.
- Training materials for security analysts on event detection and incident categorization.
- Audit trails showing the escalation process from event detection to incident declaration."
EEE-028,Investigation and Forensic Documentation,"- Standard operating procedures (SOPs) for conducting security investigations and handling forensic data.
- Chain of custody forms and logs that track the handling and analysis of forensic evidence.
- Forensic toolkits and software licenses used for data analysis during investigations.
- Forensic investigation reports detailing the rigor of methods applied.
- Training certifications and other qualifications for personnel or third parties involved in forensic investigations.
- Reports from completed investigations, including methodologies, findings, and recommendations."
EEE-029,Critical Function Resilience Documentation,"- Plans that specifically address the continuity and resilience of critical business functions.
- Dashboards or reports that monitor the health and resilience of critical functions.
- Definitions of measures used to manage and assess resilience (RPO, RTO, MTO, Impact Tolerance, etc.)
- Documentation of resilience requirements integrated into the design of new services or processes.
- Evaluations or audits of the resilience program, highlighting strengths and areas for improvement."
EEE-030,Board Accountability and Cybersecurity Governance Documentation,"- Minutes from board meetings where cybersecurity and risk management topics are discussed, showing oversight and decision-making.
- Policies and procedures that define the roles and responsibilities of senior management in overseeing cybersecurity efforts.
- Performance metrics and reports presented to the board and senior management, demonstrating accountability for security and risk management.
- Documentation of board-approved cybersecurity strategies and initiatives.
- Records of executive training and awareness sessions on cybersecurity and risk management topics."
EEE-031,Cybersecurity and Technology Officer Leadership Documentation,"- Job descriptions and role profiles for the Cybersecurity Officer and Technology Officer, outlining responsibilities and qualifications.
- Strategic plans and objectives developed by the Cybersecurity Officer and Technology Officer, with documented board or executive approval.
- Records of security initiatives led by these officers, including project plans, status updates, and outcomes.
- Documentation of regular updates or briefings provided to the board and senior management by these officers.
- Evidence of the performance of 360-degree reviews of the Cybersecurity Officer and Technology Officer.
- Performance evaluations or reviews of the Cybersecurity Officer and Technology Officer, assessing their effectiveness and impact."
EEE-032,Technology and Cybersecurity Personnel Roles and Responsibilities Documentation,"- Organizational charts and role matrices that clearly define the roles and responsibilities of technology and cybersecurity personnel.
- Training and certification records for staff, demonstrating qualifications and ongoing professional development.
- Policies and procedures that outline the expected contributions of personnel to cybersecurity initiatives.
- Evaluations of skill and resource level requirements against the current personnel complement.
- Incident response team rosters and contact information, indicating roles during security incidents.
- Performance reviews and goal-setting documents for technology and cybersecurity staff."
EEE-033,Training Programs Documents and Physical and Cybersecurity Documentation,"- Documented physical and cybersecurity objectives aligned with the organization's overall security strategy.
- Training curricula and schedules for physical and cybersecurity awareness and skill-building programs.
- Attendance records and completion certificates for security training sessions.
- Evaluations and feedback from participants on the effectiveness of the training programs.
- Security exercise and drill reports, demonstrating the application of training in simulated scenarios."
EEE-034,Asset Management and Inventory Oversight Documentation,"- Asset management policies that outline the processes and data requirements for tracking, maintaining, and securing organizational assets.
- Inventory lists or databases of assets, including hardware, software, data, and intellectual property, with assigned custodians or owners.
- Change logs or records of asset transfers, disposals, and acquisitions.
- Technical documentation and configuration of automated inventory discovery and management tools.
- Reports from periodic asset audits or reviews, confirming the accuracy of the inventory and compliance with the policy.
- Documentation of asset classification and labeling, indicating the criticality and sensitivity of assets."
EEE-035,Access Control and Identity Management Documentation,"- Written policies and procedures detailing access control measures and identity management protocols.
- System configuration snapshots or reports demonstrating the implementation of access controls.
- Descriptions of role-based groups or other practices used to differentiate access rights.
- Records demonstrating regular review of access controls, authorized users, and least privilege principle application by system owners.
- Audit logs showing user access activities and adherence to access policies.
- Records of user account creation, modification, and termination processes."
EEE-036,Vulnerability Scanning and Patch Management Documentation,"- Policy, standard, and/or procedure documents covering the identification, assessment, reporting, and remediation of software and device vulnerabilities, including regular patching protocols.
- Schedules and records of patch deployment activities, including system reboots, post-patch testing, dates, systems affected, and patching outcomes.
- Documentation of patching or upgrades to standard system configuration baselines.
- Reports from vulnerability scans or assessments that inform the patch management process.
- Incident reports related to vulnerabilities that were mitigated through patch management.
- Documentation and reporting of vulnerability mitigation targets.
- Records of exceptions to, assessments of, and approvals for cases where vulnerability mitigation targets or standards are not met.
- Records demonstrating the integration of patch management and change management practices.
- Approval and review documentation for patching protocols, including impact assessments and authorization records.
- Dashboards or tools used to monitor patch levels and patch application across the target environment.
- Post-implementation reviews and post-change evaluation reports assessing the impact and success of patches and any unintended consequences.
- Audit or review findings related to vulnerability management and patching practices with actions taken in response to findings."
EEE-037,Change Management Documentation,"- Policy, standard, and/or procedure documents covering change management practices.
- Change management procedures that outline the process for assessing, tracking, making and documenting changes to IT systems and business processes.
- Change management procedures for emergency changes, to include approval requirements and post-change documentation requirements.
- Change management records and documentation for system changes, reflecting updates, modifications, and controlled implementation.
- Change control records documenting the approval and implementation of system changes, patches, and configuration control, to include actions and decisions taken by change advisory boards or similar review groups.
- Approval and review documentation for changes, including impact assessments and authorization records.
- Post-implementation reviews and post-change evaluation reports assessing the impact and success of system changes, identifying any unintended consequences.
- Records demonstrating that change management practices are integrated into project delivery processes.
- Records demonstrating that documentation, training, and other system artifacts are updated to reflect any changes made.
- Audit or review findings related to change management, with actions taken in response to findings."
EEE-038,Configuration Management Documentation,"- Policy, standard, and/or procedure documents covering configuration management practices.
- Best practice standards used to inform configuration standards, to include evidence of adherence to hardening and least functionality objectives.
- System configuration baseline documentation and reports showing compliance with established standards.
- Change control records documenting the approval and implementation of standard system configurations.
- Dashboards or tools used to monitor version levels and system configurations across the organization.
- Dashboards or tools used to monitor for non-standard configurations, unsupported systems, or configuration drift.
- Audit or review findings related to configuration management with actions taken in response to findings."
EEE-039,Malware Protection and Incident Detection Documentation,"- Anti-malware policies and procedures, including strategies for prevention, detection, and response.
- Logs from anti-malware solutions showing coverage, detection, and remediation of malicious software.
- Exception reports and tracking of malware detection failures and gaps.
- Incident response plans that include specific protocols for handling malware-related incidents.
- Post-incident analysis reports that evaluate the effectiveness of malware protection strategies."
EEE-040,Cybersecurity Awareness and Training Program Documentation,"- Plan detailing awareness initiatives and training programs, including schedules and topics.
- Records of executed awareness campaigns (e.g., phishing simulations) and training sessions.
- Engagement metrics, feedback summaries, and post-training testing used to assess program effectiveness.
- Records of follow-up remediation actions for employees that fail post-training testing.
- List of employee certifications and completion certificates for cybersecurity training.
- Improvement reports based on program feedback and metrics."
EEE-041,Data Governance and Retention Policy Documentation,"- Data governance framework documents that outline roles, responsibilities, and processes for managing organizational data.
- Data retention schedules and policies specifying how long different types of data should be kept and the procedures for data disposal.
- Audit reports demonstrating compliance with data management and retention policies.
- Documentation of automated and manual processes used to implement data retention requirements.
- Training records for staff on data governance practices and data handling procedures.
- Documentation of data classification schemes used to manage data based on its sensitivity and importance."
EEE-042,Emerging Technology Risk and Opportunity Assessment Documentation,"- Strategic reports evaluating the risks and opportunities associated with adopting new or emerging technologies.
- Risk assessment templates and completed assessments for specific technologies under consideration.
- Minutes from meetings or workshops where emerging technologies and their implications were discussed.
- Records of participation in industry events or education related to emerging technologies and risk management.
- Innovation pipeline documents that track the evaluation and adoption process for new technologies.
- Case studies or pilot project reports on the implementation of emerging technologies."
EEE-043,"Cybersecurity Training, Awareness, and Expertise Access Documentation","- Agendas and materials from cybersecurity awareness events and training sessions.
- Records of accessing/retaining cybersecurity expertise and resources, including external consultants or internal experts.
- Partnerships with educational institutions or professional organizations to enhance cybersecurity knowledge.
- Records of employee participation in external cybersecurity conferences, workshops, or courses.
- Feedback from employees on the accessibility and usefulness of cybersecurity training and expertise."
EEE-044,Security Incident and Event Management Documentation,"- Written policies outlining the procedures for managing security incidents and events, including roles and responsibilities.
- Configuration and operational guidelines for Security Information and Event Management (SIEM) systems.
- Logs and analysis reports from the SIEM system, demonstrating the detection and handling of security events.
- Training documentation for personnel responsible for managing the SIEM system and responding to incidents.
- Audit trails and incident reports that document the response to and resolution of security incidents."
EEE-045,Data Governance and Lifecycle Management Policy Documentation,"- Data governance charters or policies that define the management of data throughout its lifecycle.
- Procedures and controls for data creation, storage, usage, archiving, and destruction.
- Documentation of data lifecycle workflows, including roles involved at each stage.
- Records of data quality assessments and data cleansing activities.
- Reports on compliance with legal and regulatory requirements related to data lifecycle management."
EEE-046,Risk Assessment and Threat Analysis Documentation,"- Standardized risk assessment templates.
- Completed assessments for relevant organizational assets and processes.
- Threat analysis reports that identify potential threats and their likelihood and impact on the organization.
- Documentation of risk assessment training for staff involved in the risk management process.
- Risk registers or databases that track identified risks and their mitigation status.
- Historical trend analysis of threats and incidents to inform future risk assessments."
EEE-047,Vulnerability Management and Remediation Strategy Documentation,"- Policies and procedures for identifying, assessing, and remediating vulnerabilities in systems and software.
- Vulnerability scan reports and dashboards showing identified vulnerabilities and their remediation status.
- Change management records for remediation actions taken in response to identified vulnerabilities.
- Documentation of prioritization criteria for addressing vulnerabilities based on risk.
- Records of communication with stakeholders regarding vulnerability management efforts and outcomes."
EEE-048,Exception Management and Vulnerability Handling Documentation,"- Policies and procedures for handling exceptions to standard security policies, including the process for requesting and approving exceptions.
- Documentation of approved policy exceptions, including justification, risk assessment, and compensating controls.
- Vulnerability exception records that detail the rationale for not remediating certain vulnerabilities and the associated risk acceptance.
- Audit reports that review the management of policy and vulnerability exceptions."
EEE-049,Vulnerability Disclosure and Response Protocol Documentation,"- Procedures for receiving, assessing, and responding to vulnerability disclosures from external researchers, customers, or other entities.
- Communication templates and protocols for interacting with individuals or organizations reporting vulnerabilities.
- Records of disclosed vulnerabilities, including the organization's response and remediation actions.
- Agreements or MOUs with bug bounty platforms or security researchers regarding vulnerability disclosure.
- Reports summarizing the outcomes of vulnerability disclosures and the effectiveness of the response process."
EEE-050,Control Assessment and Testing Documentation,"- Schedules and plans for regular assessments and testing of security controls to ensure they are functioning as intended.
- Results and reports from control assessments, including identified deficiencies and corrective actions taken.
- Documentation of testing methodologies and criteria used to evaluate the effectiveness of controls.
- Records of updates or changes to controls based on assessment findings."
EEE-051,Risk Metrics and Performance Indicator Documentation,"- Key performance indicators (KPIs) and risk metrics used to measure the effectiveness of the organization's risk management program.
- Dashboards or reports that track and display collected performance indicators and risk metrics.
- Documentation of the process for collecting, analyzing, and reporting on KPIs and risk metrics.
- Historical data and trend analysis used to inform risk management decisions and strategies.
- Records of management reviews or meetings where performance indicators and risk metrics are discussed and used to drive decision making or improvements."
EEE-052,Technology Architecture and Design Documentation,"- Architecture diagrams and design documents that detail the structure and components of the organization's technology systems, including networks, systems, and applications.
- Records of architecture review board meetings, including decisions on technology design, changes, and rationales for architectural changes.
- Documentation of technology standards, design patterns, and best practices adopted in system design.
- Change history logs and version control records for architectural designs and documents, showing evolution and updates over time.
- Compliance certificates, reports, and assessments verifying that designs and architecture meet relevant industry standards and regulatory requirements."
EEE-053,"Project Governance, Management, and Quality Assurance Documentation","- Project governance frameworks or charters that define roles, responsibilities, and decision-making processes.
- Stakeholder analysis documents and communication plans for engaging with project stakeholders.
- Project management plans that include quality control measures, checkpoints, risk mitigation strategies, and contingency planning.
- Risk assessment templates and completed assessments for technology projects, identifying potential delivery risks.
- Quality assurance policies and procedures for overseeing project deliverables and outcomes.
- Checklists and tools used for quality control during project execution.
- Meeting minutes and action items from project steering committees, governance boards, or risk management discussions within project teams, including actions taken to address identified risks.
- Records of project audits or reviews focused on quality aspects.
- Feedback and satisfaction surveys from stakeholders regarding project outcomes and engagement.
- Reports on project performance, governance effectiveness, and risk management effectiveness, including lessons learned.
- Training documentation for project managers and team members on quality management practices and risk assessment and management techniques.
- Post-project reviews or retrospectives that analyze risk management effectiveness and lessons learned.
- Documentation of project management standards, methodologies, and best practices adopted by the organization"
EEE-054,Technology Service Performance and Support Monitoring Documentation,"- Service level agreements (SLAs) and key performance indicators (KPIs) for technology services and support functions.
- Documentation for service catalogs, service support systems, or other mechanisms for end-users to request services.
- Monitoring dashboards or reports that track service performance against SLAs and KPIs.
- Records of service incidents, including response times, resolution details, and customer feedback.
- Procedures for managing and improving technology service performance."
EEE-055,Network and System Segmentation Implementation Documentation,"- Written policies detailing the approach to network security and system segmentation, including criteria for segmenting resources and strategies for enhancing security.
- Network diagrams showing the segmentation of the network into different zones or segments for security purposes, including firewalls and access control lists.
- Configuration records, change logs, or documentation demonstrating the implementation of segmentation controls.
- Audit reports assessing and evaluating the effectiveness of network and system segmentation in reducing risk, isolating, and protecting critical assets.
- Incident response records showing the role of network segmentation in containing security events."
EEE-056,Operational Technology and IoT Security Documentation,"- Security policies and procedures specific to operational technology (OT) and Internet of Things (IoT) devices.
- Inventory lists of OT and IoT devices, including security features and firmware versions.
- Risk assessments for OT and IoT devices, identifying potential vulnerabilities and mitigation strategies.
- Configuration standards for various types of OT and IoT devices (e.g., default password reset).
- Incident response plans that include protocols for addressing security incidents involving OT and IoT devices.
- Documentation of security patches and updates applied to OT and IoT devices, along with testing results."
EEE-057,Remote Access Security and Management Documentation,"- Policies governing remote access to the organization's network and systems, including user authentication and authorization procedures and end-user acceptable use policies.
- Records of remote access configurations and settings, ensuring secure connections (e.g., VPN configurations).
- Audit trails or logs of remote access sessions, including user activities and access times.
- Reviews or assessments of remote access security controls, identifying any gaps or improvements needed.
- Training records for employees and contractors on secure remote access practices."
EEE-058,Resilience Mechanism Validation and Feedback Documentation,"- Plans and procedures for implementing resilience mechanisms across IT systems and business processes.
- Business- and associated system-level requirements for resilience.
- Architecture and design documentation detailing resilience deisgn factors and considerations.
- Schedules and reports from testing and exercises designed to validate the effectiveness of resilience mechanisms.
- Change management documentation related to the enhancement of resilience mechanisms.
- Lessons learned and improvement plans derived from resilience testing activities.
- Stakeholder feedback on the organization's resilience capabilities, gathered through surveys or interviews."
EEE-059,Enterprise and Cyber Resilience Policy Documentation,"- Official enterprise resilience strategy documents that outline the organization's approach to achieving and maintaining resilience.
- Cyber resilience policy documents that specify the measures and controls in place to protect against cyber threats.
- Board presentations and approvals related to the resilience strategy and cyber resilience policies.
- Reports from resilience assessments, including gap analyses and recommendations for improvement."
EEE-060,Cross-Sector Incident Response Coordination Documents,"- Coordination plans that outline how the organization will work with external entities during an incident response.
- Agreements or MOUs with cross-sector partners and government agencies for collaborative information sharing and/orincident response.
- After-action reports from joint incident response exercises with cross-sector partners.
- Communication protocols for sharing information and coordinating actions during cross-sector incidents.
- Training and exercise records for staff on cross-sector incident response procedures."
EEE-061,Service Recovery and Critical Operations Resumption Documentation,"- Procedures and checklists for resuming services and recovering critical operations after an incident.
- Prioritization lists that identify critical services and operations for recovery efforts.
- Test results and reports from service resumption drills and recovery exercises.
- Service level agreements (SLAs) with vendors that include provisions for rapid service resumption.
- Documentation of alternative processes and workarounds to be used when primary operations are disrupted."
EEE-062,Board Oversight and Risk Management Documentation,"- Minutes from board meetings where risk management reviews are conducted, demonstrating oversight.
- Risk management review reports that are presented to the board, including findings and recommendations.
- Policies that define the board's role in overseeing risk management activities.
- Records of board-directed actions taken in response to risk management reviews.
- Training materials for board members on risk management principles and their oversight responsibilities."
EEE-063,Cybersecurity and Technology Officer Accountability Documents,"- Performance goals and objectives set for the Cybersecurity and Technology Officers, including measurable outcomes.
- Documentation of regular reviews or evaluations of the Cybersecurity and Technology Officers' performance.
- Records of decisions and actions taken by these officers, demonstrating their accountability for technology and security outcomes.
- Documentation of any corrective actions or improvements implemented based on performance reviews.
- Evidence of communication by these officers to the board or senior management regarding cybersecurity and technology matters."
EEE-064,Roles and Responsibilities in Risk Management Documentation,"- Organizational charts and job descriptions that clearly define roles and responsibilities related to risk management.
- Documentation of risk management training and awareness programs for personnel across the organization.
- Records of risk-related decisions and actions taken by personnel, showing accountability.
- Performance reviews that include assessments of how individuals manage and mitigate risks within their areas of responsibility.
- Incident reports that detail the involvement and effectiveness of personnel in managing and responding to risks."
EEE-065,Asset Management and Custodianship Documentation,"- Asset management policies that outline the procedures for asset custodianship, including accountability for asset security and maintenance.
- Records of asset assignments to custodians, including acknowledgment of responsibilities.
- Audit trails showing the tracking and verification of asset location, status, and custodianship.
- Reports from periodic reviews of asset management practices and custodian performance."
EEE-066,Segregation of Duties in Risk Management Documentation,"- Policies and procedures that establish segregation of duties within risk management activities to prevent conflicts of interest and fraud.
- Flowcharts or diagrams that illustrate the separation of roles and responsibilities in risk-related processes.
- Internal control reports that verify the effectiveness of segregation of duties in mitigating risks.
- Records of changes to duties or responsibilities to maintain proper segregation as the organization evolves."
EEE-067,Resource Planning and Allocation for Risk Management Documentation,"- Strategic plans that include resource allocation for risk management functions, such as staffing, technology, and training.
- Budget documents that detail funding dedicated to risk management activities.
- Capacity and resiliency planning reports that assess the resources needed to effectively manage risks.
- Documentation of resource adjustments made in response to changes in the risk landscape.
- Records of resource utilization and efficiency in risk management, including return on investment analyses."
EEE-068,Threat Monitoring and Detection Program Evaluation Documentation,"- Documentation of the monitoring and detection strategies employed to identify potential security threats and vulnerabilities.
- Evaluation reports detailing the effectiveness of monitoring tools and detection mechanisms in identifying and mitigating risks.
- Training records for security personnel on the use of monitoring and detection technologies and techniques.
- Change logs demonstrating updates and improvements made to monitoring and detection capabilities.
- Incident case studies showcasing successful detection and response actions facilitated by the monitoring program."
EEE-069,Crisis Response and Business Continuity Management Documentation,"- Crisis response plans that detail specific actions, communication protocols, templates, and roles during various crisis scenarios.
- Exercise and drill records, including scenarios, outcomes, and lessons learned, to validate crisis response capabilities.
- After-action reports from actual crisis events, analyzing the response effectiveness and areas for improvement.
- Stakeholder feedback on the organization's response during crisis situations, used to refine continuity and crisis response plans."
EEE-070,Incident Management and Forensic Training Documents,"- Curricula and materials for training programs focused on incident management and forensic investigation techniques.
- Attendance and completion records for employees who have undergone incident management and forensic training.
- Certifications or qualifications obtained by staff in incident management and forensic analysis disciplines.
- Summaries of training exercises, including objectives, scenarios, and participant performance evaluations.
- Feedback from training participants, used to continuously improve the training content and delivery methods."
