CRI Profile ver. 2.1 Assessment,CRI Profile ver. 2.1 Assessment,CRI Profile ver. 2.1 Assessment,CRI Profile ver. 2.1 Assessment,CRI Profile ver. 2.1 Assessment,CRI Profile ver. 2.1 Assessment,CRI Profile ver. 2.1 Assessment,CRI Profile ver. 2.1 Assessment,CRI Profile ver. 2.1 Assessment,CRI Profile ver. 2.1 Assessment,,,,,
006.009,GOVERN / Organizational Context / Stakeholder Service Expectations,GV.OC-04.03,Critical service delivery resilience,"GV.OC-04.03: Resilience requirements to support the delivery of critical services are established for all operating states (e.g., under duress/attack, during recovery, and normal operations).",Yes,No,No,No,Not Applicable,,,"Describe the establishment of technology cyber resilience requirements to support delivery of critical services for all operating states (e.g., under duress/attack, during recovery, normal operations). Include documentation or catalog of critical services inventory and related dependencies. Describe reasonably expected scenarios/conditions of alternative operating states (e.g., ransomware attack, extended site recovery, site loss, etc.) ","EEE-013: Operational Resilience and Continuity Procedures Documentation
EEE-014: Resilience and Continuity Design and Assessment Documents
EEE-016: Recovery Objectives and Strategic Alignment Documentation
EEE-029: Critical Function Resilience Documentation
EEE-058: Resilience Mechanism Validation and Feedback Documentation
EEE-078: Resilience Testing and Infrastructure Redundancy Documentation
EEE-106: Recovery Objectives Critical Infrastructure Documentation
EEE-107: Data Recovery and Information Flow Mapping Documentation
EEE-110: Data Recovery and Integrity Assurance Documentation",#business_impact_analysis | #business_process | #critical_infrastructure | #data_backup | #resilience | #review_assessment_and_testing
006.010,GOVERN / Organizational Context / Stakeholder Service Expectations,GV.OC-04.04,Resilience prioritization,"GV.OC-04.04: The organization prioritizes the resilience design, planning, testing, and monitoring of systems and other key internal and external dependencies according to their criticality to the supported business functions, enterprise mission, and to the financial services sector.",Yes,Yes,No,No,Not Applicable,,,"The organization should prioritize assets according to their criticality and classification, which will guide decisions regarding internal controls and processes to effectively manage resiliency. The organization should understand the interdependencies between systems and business processes to prioritize system resiliency monitoring and processes.
Responses should describe how the organization has prioritized the resilience planning, design, testing, and monitoring of systems according to their criticality to the supported business functions, enterprise mission, and to the financial services sector. Highlight tools used and how risk is assessed.","EEE-013: Operational Resilience and Continuity Procedures Documentation
EEE-014: Resilience and Continuity Design and Assessment Documents
EEE-016: Recovery Objectives and Strategic Alignment Documentation
EEE-029: Critical Function Resilience Documentation
EEE-058: Resilience Mechanism Validation and Feedback Documentation
EEE-061: Service Recovery and Critical Operations Resumption Documentation
EEE-079: Capacity Planning and Resource Utilization Documentation
EEE-110: Data Recovery and Integrity Assurance Documentation",#asset_management | #business_impact_analysis | #business_process | #critical_infrastructure | #dependency_management | #resilience | #security_logging_monitoring_and_alerting | #technology_availability
007.011,GOVERN / Organizational Context / Organizational Service Dependencies,GV.OC-05.01,Critical service dependencies,"GV.OC-05.01: The organization identifies, assesses, and documents the key dependencies, interdependencies, and potential points of failure to support the delivery of critical services (e.g., systems, business processes, workforce, third parties, facilities, etc.)",Yes,Yes,Yes,Yes,To Be Assessed,,,"In order to plan and assess for enterprise resilience, the organizations should identify, assess, and document internal and external dependencies to understand upstream and downstream affects of potential points of failure to critical services (systems, business processes, third parties, facilities, etc.). 
Responses should describe the organizations processes to identify, assess, and document internal and external dependencies. Dependency evaluation and management processes should consider internal and external dependencies for critical services (information systems, data processing facilities, third party providers, business processes, etc.). Include considerations of backup systems and facilities, and third party service providers on retainer contracts.","EEE-010: IT Asset Management and Business Function Mapping Documentation
EEE-011: External Dependencies and Risk Assessment Documents
EEE-012: Critical Business Process and Recovery Documentation
EEE-014: Resilience and Continuity Design and Assessment Documents
EEE-015: Sector-Wide Dependency and Impact Analysis Documentation
EEE-020: Vendor Contingency and Transition Planning Documents
EEE-025: Vendor Contingency and Risk Mitigation Documentation
EEE-029: Critical Function Resilience Documentation
EEE-034: Asset Management and Inventory Oversight Documentation",#asset_management | #business_impact_analysis | #business_process | #critical_infrastructure | #dependency_management | #staffing_and_resource_management | #third_party_risk_management | #supply_chain_management
007.012,GOVERN / Organizational Context / Organizational Service Dependencies,GV.OC-05.02,External dependency prioritization,"GV.OC-05.02: The organization has prioritized its external dependencies according to their criticality to the supported enterprise mission, business functions, and to the financial services sector.",Yes,Yes,Yes,No,Not Applicable,,,"Describe how the organization has prioritized external dependencies according to their criticality to the supported business functions, enterprise mission, and to the financial services sector.
External dependencies (i.e., third-party dependencies) may be interconnected with, or support sector-critical systems and operations, and disruptions to the external dependency could pose a risk to both the organization and the entire financial services sector. For example, if an external dependency prevents an organization from making a significant number of payments, it could have adverse effects on financial stability. Additionally, if a payments or settlement service experienced an outage with an external dependency, it could have a significant impact on other financial services organizations. ","EEE-010: IT Asset Management and Business Function Mapping Documentation
EEE-011: External Dependencies and Risk Assessment Documents
EEE-014: Resilience and Continuity Design and Assessment Documents
EEE-015: Sector-Wide Dependency and Impact Analysis Documentation
EEE-020: Vendor Contingency and Transition Planning Documents",#asset_management | #business_impact_analysis | #dependency_management | #third_party_risk_management | #supply_chain_management
007.013,GOVERN / Organizational Context / Organizational Service Dependencies,GV.OC-05.03,Alignment of resilience measures,"GV.OC-05.03: The organization defines objectives (e.g., Recovery Time Objective, Maximum Tolerable Downtime, Impact Tolerance) for the resumption of critical operations in alignment with business imperatives, stakeholder obligations, and critical infrastructure dependencies.",Yes,Yes,Yes,Yes,To Be Assessed,,,"Describe how the organization defines objectives for resumption of critical operations (recovery time objectives, recovery point objectives). Organizations should establish an Impact Tolerance objective for critical business services that defines the maximum tolerable level and duration for a disruption. Describe how the Recovery Time Objective, Maximum Tolerable Downtime, and Impact Tolerance are designed to improve the organization’s operational resilience. Include information on the organization’s business impact analysis, the scope of critical business processes, and prioritization for recovery, among other details. Provide information on the framework and tools utilized to define objectives. Provide information on frequency of assessment and any risk-based criteria.","EEE-013: Operational Resilience and Continuity Procedures Documentation
EEE-014: Resilience and Continuity Design and Assessment Documents
EEE-016: Recovery Objectives and Strategic Alignment Documentation
EEE-029: Critical Function Resilience Documentation
EEE-106: Recovery Objectives Critical Infrastructure Documentation
EEE-107: Data Recovery and Information Flow Mapping Documentation
EEE-110: Data Recovery and Integrity Assurance Documentation",#architecture | #asset_management | #business_impact_analysis | #critical_infrastructure | #data_backup | #data_flow | #data_integrity | #disaster_recovery | #network_diagrams | #resilience | #roles_and_responsibilities | #security_logging_monitoring_and_alerting | #technology_availability
007.014,GOVERN / Organizational Context / Organizational Service Dependencies,GV.OC-05.04,Recovery point objectives,"GV.OC-05.04: Recovery point objectives to support data integrity are consistent with the organization's recovery time objectives, information flow dependencies between systems, and business obligations.",Yes,Yes,Yes,No,Not Applicable,,,Describe how the organization’s recovery point objectives support data integrity efforts are consistent with the organization's requirements for recovery of critical operations. Provide information on the impact of a cyber-attack relative to recovery point objectives.,"EEE-013: Operational Resilience and Continuity Procedures Documentation
EEE-016: Recovery Objectives and Strategic Alignment Documentation
EEE-022: Incident Management, Response Framework and Performance Documentation
EEE-086: Recovery Strategy and Resilience Plan Documentation
EEE-092: Business Continuity Strategy and Exercises Documentation
EEE-106: Recovery Objectives Critical Infrastructure Documentation
EEE-107: Data Recovery and Information Flow Mapping Documentation
EEE-110: Data Recovery and Integrity Assurance Documentation
EEE-111: Disaster Recovery and Validation Program Documentation",#architecture | #data_backup | #data_flow | #data_integrity | #dependency_management | #disaster_recovery | #network_diagrams | #resilience
009.015,GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.01,Risk management strategy approval ,"GV.RM-01.01: Technology and cybersecurity risk management strategies and frameworks are approved by the governing authority (e.g., the Board or one of its committees) and incorporated into the overall business strategy and enterprise risk management framework.",Yes,Yes,Yes,Yes,To Be Assessed,,,"The organization’s technology and cybersecurity risk management strategies and frameworks should be a key consideration in all business strategies, practices, policies, and procedures. The technology and cybersecurity risk management strategies should align with long-term business strategies and the technologies to support these strategies. Management can support an enterprise information security program and enterprise risk management framework by setting a strong security culture that begins with board involvement and ongoing cybersecurity awareness training that is expected at all levels of management and staff. 
Include information about the organization’s technology and cybersecurity risk management strategies and frameworks.  Document the approval of the strategies and frameworks by the Board (or one of its committees) and outline how they incorporate business strategy and links to the enterprise risk management framework. For example, the cybersecurity risk management framework should be part of the organization’s overall enterprise risk management framework. Describe how that framework is established and executed for cybersecurity risk management. ","EEE-001: Cybersecurity and IT Strategy Documents
EEE-002: Board Governance and IT Oversight Documentation
EEE-003: Strategic Objectives and Planning Documents
EEE-004: Risk Management Framework and Reporting Documents
EEE-005: Risk Appetite Tolerance, and Strategy Alignment Documents
EEE-009: Audit and Remediation Documentation
EEE-030: Board Accountability and Cybersecurity Governance Documentation
EEE-031: Cybersecurity and Technology Officer Leadership Documentation
EEE-032: Technology and Cybersecurity Personnel Roles and Responsibilities Documentation
EEE-093: Risk Management Strategy and Framework Documentation
EEE-094: Technology and Cybersecurity Risk Appetite Documents",#board_or_committee_oversight | #enterprise_risk_management | #metrics_and_reporting | #mission_and_strategy | #risk_management | #risk_oversight
009.016,GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.02,Industry standards and guidelines,"GV.RM-01.02: Technology and cybersecurity risk management strategies and frameworks are informed by applicable international, national, and financial services industry standards and guidelines.",Yes,Yes,Yes,Yes,To Be Assessed,,,"The organization should leverage industry security standards and guidelines in the management of technology and cybersecurity risks and gaps in controls and processes. Responses should include evidence that the technology and cyber risk strategies and frameworks are built upon applicable industry standards and guidelines. Additionally, responses should provide evidence of technology and cyber risk strategy and framework are reviewed and updated to incorporate changes within applicable industry standards and guidelines. 
Industry recognized standards commonly include standards from: the National Institute of Standards and Technology (NIST); SysAdmin, Audit, Network, Security (SANS); the International Organization for Standardization (ISO); the Payment Card Industry (PCI); and ISACA’s Control Objectives for Information and Related Technology (COBIT). The Financial Services Cyber Profile, now the CRI Profile, was developed using these frameworks as informative references and it could be a valuable resource for this purpose.","EEE-001: Cybersecurity and IT Strategy Documents
EEE-004: Risk Management Framework and Reporting Documents
EEE-007: Legal, Regulatory, and Compliance Management Documentation
EEE-042: Emerging Technology Risk and Opportunity Assessment Documentation
EEE-093: Risk Management Strategy and Framework Documentation",#compliance | #industry_standards | #risk_management
009.017,GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.03,Technology and cybersecurity program objectives,"GV.RM-01.03: The organization has established, and maintains, technology and cybersecurity programs designed to protect the confidentiality, integrity and availability of its information and operational systems, commensurate with the organization's risk appetite and business needs.",Yes,Yes,Yes,Yes,To Be Assessed,,,"Describe how the technology and cybersecurity programs are maintained, managed, and governed. Provide examples of how the programs assess and manage processes, activities, or systems, to ensure that they are operating effectively and work with all of the organization’s business functions to understand and manage the risks. Describe the technology and cybersecurity programs performance measures and risk indicators (e.g., KRIs, KPIs, and KCIs), and how the program addresses inherent risk to the organization. Describe how the programs are reviewed and approved annually at the Board Risk Committee.
Describe how the organization strengthens the technology and cybersecurity capabilities in line with the organization’s risk appetite and reducing the likelihood of a successful cyber-attack or service disruption. Provide examples of how programs align to industry recognized cyber frameworks and standards (e.g., the CRI Profile, NIST, ISO, FFIEC CAT, etc.) ","EEE-001: Cybersecurity and IT Strategy Documents
EEE-004: Risk Management Framework and Reporting Documents
EEE-005: Risk Appetite Tolerance, and Strategy Alignment Documents
EEE-035: Access Control and Identity Management Documentation
EEE-039: Malware Protection and Incident Detection Documentation
EEE-074: Data Protection and Encryption Documentation
EEE-093: Risk Management Strategy and Framework Documentation
EEE-112: System Development and Lifecycle Integrity Documentation",#data_integrity | #data_protection | #mission_and_strategy | #program_transformation | #risk_appetite_/_tolerance | #risk_management | #system_integrity | #technology_availability | #improvements
009.018,GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.04,Risk management program components,"GV.RM-01.04: Technology and cybersecurity risk management programs incorporate risk identification, measurement, monitoring, and reporting.",Yes,Yes,Yes,Yes,To Be Assessed,,,"The organization’s technology and cyber risk management programs should incorporate defined and structured processes to the likelihood and impact of threats and identify mitigating controls. The program should also identify inherent risk and measure, monitor, and report the effectiveness of controls and residual risk. 
Describe how the technology and cyber risk management programs incorporate risk identification, measurement, monitoring, and reporting.  Provide the organization’s enterprise risk management framework where there is an available risk and control library, how risk and control assessments are completed (identification of key risks and mitigating controls) and monitoring and reporting of such risks. Include any additional organization-specific tools to measure technology and cyber risk reductions. ","EEE-004: Risk Management Framework and Reporting Documents
EEE-009: Audit and Remediation Documentation
EEE-044: Security Incident and Event Management Documentation
EEE-046: Risk Assessment and Threat Analysis Documentation
EEE-047: Vulnerability Management and Remediation Strategy Documentation
EEE-050: Control Assessment and Testing Documentation
EEE-053: Project Governance, Management, and Quality Assurance Documentation
EEE-054: Technology Service Performance and Support Monitoring Documentation
EEE-068: Threat Monitoring and Detection Program Evaluation Documentation
EEE-081: Incident Analysis and Triage Process Documentation
EEE-087: Security Control and Process Improvement Documents
EEE-096: Incident Detection and Response Coordination Documentation",#enterprise_risk_management | #risk_management
009.019,GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.05,Risk management program alignment,"GV.RM-01.05: The organization's technology, cybersecurity, resilience, and third-party risk management programs, policies, resources, and priorities are aligned and mutually supporting.",Yes,Yes,Yes,No,Not Applicable,,,"The organization should have a policies, standards, and procedures mutually support each other to address business requirements while maintaining security and resiliency. Responses should describe the policy development lifecycle. The lifecycle should include cross collaboration with other business functions to mutually support each program. Describe how resources are allocated to support the organizations business needs and across business functions.","EEE-001: Cybersecurity and IT Strategy Documents
EEE-013: Operational Resilience and Continuity Procedures Documentation
EEE-014: Resilience and Continuity Design and Assessment Documents
EEE-017: Third-Party Risk Management and Communication Documents
EEE-059: Enterprise and Cyber Resilience Policy Documentation
EEE-062: Board Oversight and Risk Management Documentation
EEE-097: Third-Party Risk Management Documentation",#dependency_management | #program_transformation | #resilience | #risk_management | #third_party_risk_management | #supply_chain_management
010.020,GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements,GV.RM-02.01,Governing authority risk appetite review,"GV.RM-02.01: The governing authority (e.g., the Board or one of its committees) endorses and regularly reviews technology and cybersecurity risk appetite and is regularly informed about the status of, and material changes to, the organization's inherent risk profile.",Yes,Yes,Yes,Yes,To Be Assessed,,,"Risk appetite can be defined as a broad-based description of the desired level of risk that an entity will take in the pursuit of its mission. Risk appetite statements and risk tolerance metrics should describe systems and services that the organization may consider high-risk. Risk appetite statements should be decided by management after review, debate and informed determination based on business objectives and stakeholder expectations and not in isolation by any one person or department and the board. These statements should be further reviewed and approved by the board.
Responses should provide information and examples of technology and cyber risk appetite and risk tolerance, including the oversight, review, and approval processes. Include various board and committee information, organizational charts, roles, and responsibilities. Describe how the organization’s governing authority reviews technology and cyber risks and updates procedures based on identified threats. Describe the organization’s process and procedures for informing the governing body (e.g, the board or one of its committees) regarding the status of, and/or material changes to the inherent risk profile.
Organizations should demonstrate that there is a defined process to elevate the existence of a technology and cyber risks within the organization to management’s attention should it exceed the maximum acceptable level outlined in the risk appetite statement. As such, organizations should include information on their company’s cyber risk escalation process. ","EEE-004: Risk Management Framework and Reporting Documents
EEE-005: Risk Appetite Tolerance, and Strategy Alignment Documents
EEE-030: Board Accountability and Cybersecurity Governance Documentation
EEE-062: Board Oversight and Risk Management Documentation
EEE-093: Risk Management Strategy and Framework Documentation
EEE-094: Technology and Cybersecurity Risk Appetite Documents",#board_or_committee_oversight | #risk_appetite_/_tolerance | #risk_management | #risk_oversight | #roles_and_responsibilities | #threat_management
010.021,GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements,GV.RM-02.02,Risk tolerance identification,"GV.RM-02.02: The organization has established statements of technology and cybersecurity risk tolerance consistent with its risk appetite, and has integrated them into technology, cybersecurity, operational, and enterprise risk management practices.",Yes,Yes,Yes,No,Not Applicable,,,"Provide information on the organization’s cyber risk tolerance and risk appetite statement including details on inherent and residual risk levels. Provide evidence of linkage between KRIs and risk appetite/risk tolerance. Describe the process of defining and updating the risk tolerance statement, including the types of reviews and approvals that take place.","EEE-001: Cybersecurity and IT Strategy Documents
EEE-004: Risk Management Framework and Reporting Documents
EEE-005: Risk Appetite Tolerance, and Strategy Alignment Documents
EEE-093: Risk Management Strategy and Framework Documentation
EEE-094: Technology and Cybersecurity Risk Appetite Documents
EEE-104: Risk Tolerance and Management Practice Integration Documentation",#enterprise_risk_management | #risk_appetite_/_tolerance | #risk_management
010.022,GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements,GV.RM-02.03,Risk appetite and tolerance considerations,"GV.RM-02.03: Determination of the organization's risk appetite and tolerance includes consideration of the organization's stakeholder obligations, role in critical infrastructure, and sector-specific risk analysis.",Yes,Yes,Yes,No,Not Applicable,,,"When establishing risk appetite and risk tolerance, the organization’s management should consider its role as a critical infrastructure organization and calibrate the risk appetite and tolerance, if applicable, relative to that role. Provide information in support of the risk appetite and risk tolerance being informed by the organization’s role in critical infrastructure.
Describe the disposition of the risk appetite and risk tolerance, in addition to cycle of review of risk appetite statement and aspects that support the risk appetite and tolerance. The evaluation of risk appetite and tolerance should include the organization’s role within the sector and their obligations to stakeholders, clients, and customers. Provide information on how the organization coordinates with various financial services bodies, such as the ARC and FS-ISAC, and how the organization responds to risk information received by these bodies. ","EEE-005: Risk Appetite Tolerance, and Strategy Alignment Documents
EEE-007: Legal, Regulatory, and Compliance Management Documentation
EEE-105: Stakeholder Obligation Compliance and Sector-Specific Risk Analysis Documents
EEE-106: Recovery Objectives Critical Infrastructure Documentation",#business_impact_analysis | #critical_infrastructure | #enterprise_risk_management | #risk_appetite_/_tolerance | #risk_management | #roles_and_responsibilities
