                                                      CRI Profile ver. 2.1 - Diagnostic Statement Examples of Effective Evidence (EEE) Packages,                                                      CRI Profile ver. 2.1 - Diagnostic Statement Examples of Effective Evidence (EEE) Packages,                                                      CRI Profile ver. 2.1 - Diagnostic Statement Examples of Effective Evidence (EEE) Packages,                                                      CRI Profile ver. 2.1 - Diagnostic Statement Examples of Effective Evidence (EEE) Packages,                                                      CRI Profile ver. 2.1 - Diagnostic Statement Examples of Effective Evidence (EEE) Packages,                                                      CRI Profile ver. 2.1 - Diagnostic Statement Examples of Effective Evidence (EEE) Packages,                                                      CRI Profile ver. 2.1 - Diagnostic Statement Examples of Effective Evidence (EEE) Packages
004.002,GOVERN / Organizational Context / Stakeholder Risk Management Expectations,GV.OC-02.01,Stakeholder obligations,"GV.OC-02.01: The organization's obligation to its customers, employees, and stakeholders to maintain safety and soundness, while balancing size and complexity, is reflected in the organization's risk management strategy and framework,  its risk appetite and risk tolerance statements, and in a risk-aware culture.",EEE-104: Risk Tolerance and Management Practice Integration Documentation,"- Documentation of the organization's risk tolerance levels and how these are integrated into risk management practices.
- Records of risk assessments that consider the organization's risk tolerance when determining mitigation strategies.
- Reports to management and the board on risk exposures in relation to the defined risk tolerance.
- Reviews of risk management practices to ensure they remain aligned with the organization's risk tolerance."
004.003,GOVERN / Organizational Context / Stakeholder Risk Management Expectations,GV.OC-02.02,Financial services sector role,GV.OC-02.02: Technology and cybersecurity risk management strategies identify and communicate the organization’s role within the financial services sector as a component of critical infrastructure.,EEE-001: Cybersecurity and IT Strategy Documents,"- An integrated IT strategic plan that includes cybersecurity goals, detailing how security initiatives support and enhance long-term organizational objectives.
- Cybersecurity policy documents that are aligned with the IT strategic plan, ensuring that security measures and protocols are consistently applied across all technology projects.
- A technology and cybersecurity roadmap that provides a timeline for planned IT and security initiatives, including critical milestones and resource allocation.
- Documentation of the organization's adoption and implementation of cybersecurity frameworks demonstrating a structured approach to security practices within the strategic context.
- Consolidated IT and cybersecurity budget reports that reflect strategic financial planning for technology and security investments, highlighting the integration of cybersecurity into the overall technology and business budget.
- Strategic alignment review reports that evaluate the alignment between ongoing IT initiatives and cybersecurity objectives, ensuring that all technology projects incorporate necessary security considerations."
004.003,GOVERN / Organizational Context / Stakeholder Risk Management Expectations,GV.OC-02.02,Financial services sector role,GV.OC-02.02: Technology and cybersecurity risk management strategies identify and communicate the organization’s role within the financial services sector as a component of critical infrastructure.,EEE-002: Board Governance and IT Oversight Documentation,"- Board of Directors' charter and governance guidelines.
- Copies of presentations, reports, and minutes from board meetings and committees related to IT and cybersecurity.
- Records of decisions and actions taken regarding IT governance.
- Policy documents on roles and responsibilities of governance bodies.
- Compliance reports related to governance policies and practices."
004.003,GOVERN / Organizational Context / Stakeholder Risk Management Expectations,GV.OC-02.02,Financial services sector role,GV.OC-02.02: Technology and cybersecurity risk management strategies identify and communicate the organization’s role within the financial services sector as a component of critical infrastructure.,EEE-004: Risk Management Framework and Reporting Documents,"- Enterprise risk management (ERM) framework documentation.
- IT risk assessment reports identifying potential threats, vulnerabilities, controls, impacts, and mitigation recommendations.
- Risk register tracking identified risks and mitigation strategies.
- Annual risk management reports summarizing risk posture.
- Risk treatment plans detailing responses to specific risks."
004.003,GOVERN / Organizational Context / Stakeholder Risk Management Expectations,GV.OC-02.02,Financial services sector role,GV.OC-02.02: Technology and cybersecurity risk management strategies identify and communicate the organization’s role within the financial services sector as a component of critical infrastructure.,"EEE-005: Risk Appetite Tolerance, and Strategy Alignment Documents","- Risk appetite statements approved by the board or executive management.
- Risk tolerance levels defined for different categories of risk.
- Documentation on how risk appetite influences decision-making and strategy.
- Reports on risk exposures compared to the defined risk appetite.
- Updates or revisions to risk appetite and tolerance based on changing conditions."
004.003,GOVERN / Organizational Context / Stakeholder Risk Management Expectations,GV.OC-02.02,Financial services sector role,GV.OC-02.02: Technology and cybersecurity risk management strategies identify and communicate the organization’s role within the financial services sector as a component of critical infrastructure.,"EEE-007: Legal, Regulatory, and Compliance Management Documentation","- Compliance audit reports for relevant laws and regulations (e.g., GDPR, HIPAA).
- Documentation of legal advice received on cybersecurity matters, to include determinations of incident materiality.
- Records of regulatory filings and notices related to IT and cybersecurity.
- Updates to policies and procedures in response to legal and regulatory changes.
- Training records on legal and regulatory requirements for IT staff."
004.003,GOVERN / Organizational Context / Stakeholder Risk Management Expectations,GV.OC-02.02,Financial services sector role,GV.OC-02.02: Technology and cybersecurity risk management strategies identify and communicate the organization’s role within the financial services sector as a component of critical infrastructure.,EEE-009: Audit and Remediation Documentation,"- Internal audit reports on IT and cybersecurity controls.
- External audit findings and recommendations related to cybersecurity.
- Management responses and action plans addressing audit observations.
- Follow-up reports on the implementation of audit recommendations.
- Third-party assurance reports (e.g., SOC 2, ISO/IEC 27001 certifications)."
004.003,GOVERN / Organizational Context / Stakeholder Risk Management Expectations,GV.OC-02.02,Financial services sector role,GV.OC-02.02: Technology and cybersecurity risk management strategies identify and communicate the organization’s role within the financial services sector as a component of critical infrastructure.,EEE-015: Sector-Wide Dependency and Impact Analysis Documentation,"- Analysis reports detailing the dependencies within the organization's sector and potential vulnerabilities.
- Tools or software used to evaluate the criticality of external partners and suppliers.
- Summaries from workshops and exercises aimed at understanding the sector-wide impact of external disruptions.
- Reports on how regulatory changes could affect critical external dependencies.
- Real-time dashboards for monitoring geopolitical events that may impact the sector."
004.003,GOVERN / Organizational Context / Stakeholder Risk Management Expectations,GV.OC-02.02,Financial services sector role,GV.OC-02.02: Technology and cybersecurity risk management strategies identify and communicate the organization’s role within the financial services sector as a component of critical infrastructure.,EEE-017: Third-Party Risk Management and Communication Documents,"- Risk assessment reports for each critical third-party vendor, detailing potential risks and mitigation strategies.
- Communication plan templates for coordinating with third parties during incidents.
- Vendor risk management policy that outlines procedures for assessing and managing third-party risks.
- Records of third-party risk management training provided to staff responsible for vendor relations.
- Documentation of third-party performance reviews, focusing on compliance with security and resilience standards."
004.003,GOVERN / Organizational Context / Stakeholder Risk Management Expectations,GV.OC-02.02,Financial services sector role,GV.OC-02.02: Technology and cybersecurity risk management strategies identify and communicate the organization’s role within the financial services sector as a component of critical infrastructure.,EEE-104: Risk Tolerance and Management Practice Integration Documentation,"- Documentation of the organization's risk tolerance levels and how these are integrated into risk management practices.
- Records of risk assessments that consider the organization's risk tolerance when determining mitigation strategies.
- Reports to management and the board on risk exposures in relation to the defined risk tolerance.
- Reviews of risk management practices to ensure they remain aligned with the organization's risk tolerance."
004.004,GOVERN / Organizational Context / Stakeholder Risk Management Expectations,GV.OC-02.03,Critical infratructure sector role,GV.OC-02.03: Technology and cybersecurity risk management strategies identify and communicate the organization's role as it relates to other critical infrastructure sectors outside of the financial services sector and the interdependency risks.,EEE-001: Cybersecurity and IT Strategy Documents,"- An integrated IT strategic plan that includes cybersecurity goals, detailing how security initiatives support and enhance long-term organizational objectives.
- Cybersecurity policy documents that are aligned with the IT strategic plan, ensuring that security measures and protocols are consistently applied across all technology projects.
- A technology and cybersecurity roadmap that provides a timeline for planned IT and security initiatives, including critical milestones and resource allocation.
- Documentation of the organization's adoption and implementation of cybersecurity frameworks demonstrating a structured approach to security practices within the strategic context.
- Consolidated IT and cybersecurity budget reports that reflect strategic financial planning for technology and security investments, highlighting the integration of cybersecurity into the overall technology and business budget.
- Strategic alignment review reports that evaluate the alignment between ongoing IT initiatives and cybersecurity objectives, ensuring that all technology projects incorporate necessary security considerations."
004.004,GOVERN / Organizational Context / Stakeholder Risk Management Expectations,GV.OC-02.03,Critical infratructure sector role,GV.OC-02.03: Technology and cybersecurity risk management strategies identify and communicate the organization's role as it relates to other critical infrastructure sectors outside of the financial services sector and the interdependency risks.,EEE-004: Risk Management Framework and Reporting Documents,"- Enterprise risk management (ERM) framework documentation.
- IT risk assessment reports identifying potential threats, vulnerabilities, controls, impacts, and mitigation recommendations.
- Risk register tracking identified risks and mitigation strategies.
- Annual risk management reports summarizing risk posture.
- Risk treatment plans detailing responses to specific risks."
004.004,GOVERN / Organizational Context / Stakeholder Risk Management Expectations,GV.OC-02.03,Critical infratructure sector role,GV.OC-02.03: Technology and cybersecurity risk management strategies identify and communicate the organization's role as it relates to other critical infrastructure sectors outside of the financial services sector and the interdependency risks.,EEE-015: Sector-Wide Dependency and Impact Analysis Documentation,"- Analysis reports detailing the dependencies within the organization's sector and potential vulnerabilities.
- Tools or software used to evaluate the criticality of external partners and suppliers.
- Summaries from workshops and exercises aimed at understanding the sector-wide impact of external disruptions.
- Reports on how regulatory changes could affect critical external dependencies.
- Real-time dashboards for monitoring geopolitical events that may impact the sector."
004.004,GOVERN / Organizational Context / Stakeholder Risk Management Expectations,GV.OC-02.03,Critical infratructure sector role,GV.OC-02.03: Technology and cybersecurity risk management strategies identify and communicate the organization's role as it relates to other critical infrastructure sectors outside of the financial services sector and the interdependency risks.,EEE-017: Third-Party Risk Management and Communication Documents,"- Risk assessment reports for each critical third-party vendor, detailing potential risks and mitigation strategies.
- Communication plan templates for coordinating with third parties during incidents.
- Vendor risk management policy that outlines procedures for assessing and managing third-party risks.
- Records of third-party risk management training provided to staff responsible for vendor relations.
- Documentation of third-party performance reviews, focusing on compliance with security and resilience standards."
005.005,"GOVERN / Organizational Context / Legal, Regulatory, & Contractual Requirements",GV.OC-03.01,"Legal, contractual, and regulatory obligations","GV.OC-03.01: The organization's technology and cybersecurity strategy, framework, and policies align and are consistent with the organization's legal, statutory, contractual, and regulatory obligations and ensure that compliance responsibilities are unambiguously assigned.",EEE-001: Cybersecurity and IT Strategy Documents,"- An integrated IT strategic plan that includes cybersecurity goals, detailing how security initiatives support and enhance long-term organizational objectives.
- Cybersecurity policy documents that are aligned with the IT strategic plan, ensuring that security measures and protocols are consistently applied across all technology projects.
- A technology and cybersecurity roadmap that provides a timeline for planned IT and security initiatives, including critical milestones and resource allocation.
- Documentation of the organization's adoption and implementation of cybersecurity frameworks demonstrating a structured approach to security practices within the strategic context.
- Consolidated IT and cybersecurity budget reports that reflect strategic financial planning for technology and security investments, highlighting the integration of cybersecurity into the overall technology and business budget.
- Strategic alignment review reports that evaluate the alignment between ongoing IT initiatives and cybersecurity objectives, ensuring that all technology projects incorporate necessary security considerations."
005.005,"GOVERN / Organizational Context / Legal, Regulatory, & Contractual Requirements",GV.OC-03.01,"Legal, contractual, and regulatory obligations","GV.OC-03.01: The organization's technology and cybersecurity strategy, framework, and policies align and are consistent with the organization's legal, statutory, contractual, and regulatory obligations and ensure that compliance responsibilities are unambiguously assigned.",EEE-002: Board Governance and IT Oversight Documentation,"- Board of Directors' charter and governance guidelines.
- Copies of presentations, reports, and minutes from board meetings and committees related to IT and cybersecurity.
- Records of decisions and actions taken regarding IT governance.
- Policy documents on roles and responsibilities of governance bodies.
- Compliance reports related to governance policies and practices."
005.005,"GOVERN / Organizational Context / Legal, Regulatory, & Contractual Requirements",GV.OC-03.01,"Legal, contractual, and regulatory obligations","GV.OC-03.01: The organization's technology and cybersecurity strategy, framework, and policies align and are consistent with the organization's legal, statutory, contractual, and regulatory obligations and ensure that compliance responsibilities are unambiguously assigned.",EEE-004: Risk Management Framework and Reporting Documents,"- Enterprise risk management (ERM) framework documentation.
- IT risk assessment reports identifying potential threats, vulnerabilities, controls, impacts, and mitigation recommendations.
- Risk register tracking identified risks and mitigation strategies.
- Annual risk management reports summarizing risk posture.
- Risk treatment plans detailing responses to specific risks."
005.005,"GOVERN / Organizational Context / Legal, Regulatory, & Contractual Requirements",GV.OC-03.01,"Legal, contractual, and regulatory obligations","GV.OC-03.01: The organization's technology and cybersecurity strategy, framework, and policies align and are consistent with the organization's legal, statutory, contractual, and regulatory obligations and ensure that compliance responsibilities are unambiguously assigned.","EEE-007: Legal, Regulatory, and Compliance Management Documentation","- Compliance audit reports for relevant laws and regulations (e.g., GDPR, HIPAA).
- Documentation of legal advice received on cybersecurity matters, to include determinations of incident materiality.
- Records of regulatory filings and notices related to IT and cybersecurity.
- Updates to policies and procedures in response to legal and regulatory changes.
- Training records on legal and regulatory requirements for IT staff."
005.005,"GOVERN / Organizational Context / Legal, Regulatory, & Contractual Requirements",GV.OC-03.01,"Legal, contractual, and regulatory obligations","GV.OC-03.01: The organization's technology and cybersecurity strategy, framework, and policies align and are consistent with the organization's legal, statutory, contractual, and regulatory obligations and ensure that compliance responsibilities are unambiguously assigned.",EEE-008: Customer Data Privacy and Data Protection Documentation,"- Published privacy policy detailing how customer data is handled and protected.
- Consent forms and records of customer approvals for data processing.
- Data Protection Impact Assessments (DPIAs) for new projects involving personal data.
- Records of privacy policy reviews and updates.
- Documentation of customer notifications in the event of a data breach."
005.005,"GOVERN / Organizational Context / Legal, Regulatory, & Contractual Requirements",GV.OC-03.01,"Legal, contractual, and regulatory obligations","GV.OC-03.01: The organization's technology and cybersecurity strategy, framework, and policies align and are consistent with the organization's legal, statutory, contractual, and regulatory obligations and ensure that compliance responsibilities are unambiguously assigned.",EEE-009: Audit and Remediation Documentation,"- Internal audit reports on IT and cybersecurity controls.
- External audit findings and recommendations related to cybersecurity.
- Management responses and action plans addressing audit observations.
- Follow-up reports on the implementation of audit recommendations.
- Third-party assurance reports (e.g., SOC 2, ISO/IEC 27001 certifications)."
005.005,"GOVERN / Organizational Context / Legal, Regulatory, & Contractual Requirements",GV.OC-03.01,"Legal, contractual, and regulatory obligations","GV.OC-03.01: The organization's technology and cybersecurity strategy, framework, and policies align and are consistent with the organization's legal, statutory, contractual, and regulatory obligations and ensure that compliance responsibilities are unambiguously assigned.",EEE-019: Vendor Contract Management and Compliance Oversight Documents,"- Templates for contracts with vendors that include specific security and resilience requirements.
- Oversight procedures for ensuring vendors comply with contractual obligations related to security and resilience.
- Audit reports of vendor compliance with contract terms, including any corrective actions taken.
- Documentation of contract review meetings, focusing on performance and adherence to security standards.
- Change management records for contracts, detailing any amendments related to security and resilience."
005.006,"GOVERN / Organizational Context / Legal, Regulatory, & Contractual Requirements",GV.OC-03.02,Data Privacy Policy,"GV.OC-03.02: The organization implements and maintains a documented policy or policies that address customer data privacy that is approved by a designated officer or the organization’s appropriate governing body (e.g., the Board or one of its committees).","EEE-007: Legal, Regulatory, and Compliance Management Documentation","- Compliance audit reports for relevant laws and regulations (e.g., GDPR, HIPAA).
- Documentation of legal advice received on cybersecurity matters, to include determinations of incident materiality.
- Records of regulatory filings and notices related to IT and cybersecurity.
- Updates to policies and procedures in response to legal and regulatory changes.
- Training records on legal and regulatory requirements for IT staff."
005.006,"GOVERN / Organizational Context / Legal, Regulatory, & Contractual Requirements",GV.OC-03.02,Data Privacy Policy,"GV.OC-03.02: The organization implements and maintains a documented policy or policies that address customer data privacy that is approved by a designated officer or the organization’s appropriate governing body (e.g., the Board or one of its committees).",EEE-008: Customer Data Privacy and Data Protection Documentation,"- Published privacy policy detailing how customer data is handled and protected.
- Consent forms and records of customer approvals for data processing.
- Data Protection Impact Assessments (DPIAs) for new projects involving personal data.
- Records of privacy policy reviews and updates.
- Documentation of customer notifications in the event of a data breach."
005.006,"GOVERN / Organizational Context / Legal, Regulatory, & Contractual Requirements",GV.OC-03.02,Data Privacy Policy,"GV.OC-03.02: The organization implements and maintains a documented policy or policies that address customer data privacy that is approved by a designated officer or the organization’s appropriate governing body (e.g., the Board or one of its committees).",EEE-074: Data Protection and Encryption Documentation,"- Consolidated data protection policies that mandate encryption for sensitive data, detailing standards and handling procedures.
- Certificates and reports demonstrating compliance with recognized encryption standards.
- Centralized records of encryption solutions implemented across the organization, including configuration details.
- Integrated data breach response and incident management plans that specify the use of encryption as a protective measure.
- Streamlined training documentation for all employees on data protection and encryption best practices."
005.006,"GOVERN / Organizational Context / Legal, Regulatory, & Contractual Requirements",GV.OC-03.02,Data Privacy Policy,"GV.OC-03.02: The organization implements and maintains a documented policy or policies that address customer data privacy that is approved by a designated officer or the organization’s appropriate governing body (e.g., the Board or one of its committees).",EEE-098: Customer Data Privacy and Compliance Documents,"- Privacy policies and procedures that detail how customer data is protected and used in compliance with relevant laws and regulations.
- Records of privacy compliance audits, including findings and corrective actions taken.
- Documentation of customer consent and data handling practices, demonstrating adherence to privacy principles.
- Training records for staff on data privacy regulations and customer data handling procedures.
- Incident logs related to customer data privacy, including any breaches and the organization's response."
006.007,GOVERN / Organizational Context / Stakeholder Service Expectations,GV.OC-04.01,"Key assets, functions, and external dependencies","GV.OC-04.01: The organization maintains an inventory of key internal assets, business functions, and external dependencies that includes mappings to other assets, business functions, and information flows.",EEE-010: IT Asset Management and Business Function Mapping Documentation,"- Inventory list of IT assets, including hardware, software, and data.
- Business function catalog that maps key assets to their corresponding business process.
- Asset ownership and stewardship  records indicating who is responsible for specific assets.
- Lifecycle management records for assets, showing purchase dates, warranty periods, and disposal information.
- Integration diagrams showing how assets interact within the business's technology ecosystem."
006.007,GOVERN / Organizational Context / Stakeholder Service Expectations,GV.OC-04.01,"Key assets, functions, and external dependencies","GV.OC-04.01: The organization maintains an inventory of key internal assets, business functions, and external dependencies that includes mappings to other assets, business functions, and information flows.",EEE-011: External Dependencies and Risk Assessment Documents,"- Diagrams of network architecture showing connections to external systems and services.
- Contracts and service level agreements (SLAs) with key vendors and service providers.
- Risk assessments of external dependencies highlighting potential impact on business operations.
- Documentation of alternative vendors and backup resources in case of primary vendor failure.
- Incident reports related to external dependencies, including response and resolution details."
006.007,GOVERN / Organizational Context / Stakeholder Service Expectations,GV.OC-04.01,"Key assets, functions, and external dependencies","GV.OC-04.01: The organization maintains an inventory of key internal assets, business functions, and external dependencies that includes mappings to other assets, business functions, and information flows.",EEE-014: Resilience and Continuity Design and Assessment Documents,"- A documented methodology for evaluating the resilience and continuity of business operations and IT systems.
- Workbooks or diagrams that visually depict the dependencies of critical business processes.
- Risk impact studies with mitigation strategies for critical functions.
- Meeting minutes from design reviews focused on enhancing system resilience and continuity.
- Industry benchmarking reports comparing the organization's resilience and continuity capabilities.
- Checklists used for auditing the content and coverage of resilience and continuity plans."
006.008,GOVERN / Organizational Context / Stakeholder Service Expectations,GV.OC-04.02,Critical business processes,"GV.OC-04.02: The organization documents the business processes that are critical for the delivery of services and the functioning of the organization, and the impacts to the business if those processes are degraded or not functioning.",EEE-012: Critical Business Process and Recovery Documentation,"- Process and informatioin flow diagrams for critical business operations.
- Business impact analyses that identify and prioritize critical processes.
- Procedures and guidelines for maintaining and operating critical processes.
- Performance metrics and monitoring reports for critical processes.
- Recovery plans for critical business processes in the event of disruption."
006.008,GOVERN / Organizational Context / Stakeholder Service Expectations,GV.OC-04.02,Critical business processes,"GV.OC-04.02: The organization documents the business processes that are critical for the delivery of services and the functioning of the organization, and the impacts to the business if those processes are degraded or not functioning.",EEE-013: Operational Resilience and Continuity Procedures Documentation,"- Standard operating procedures (SOPs) for responding to incidents that threaten resilience and continuity.
- Business continuity plan outlining procedures for maintaining service delivery during disruptions.
- Recovery time objectives (RTOs), recovery point objectives (RPOs), maximum tolerable downtime (MTO), impact tolerance, and/or other recovery objective metrics are established for key services.
- Communication plans for stakeholders during a service disruption, to include alternative communication mechanisms.
- Contingency plans detailing alternative service delivery methods.
- Training records for staff on resilience and continuity procedures and their roles during incidents."
006.008,GOVERN / Organizational Context / Stakeholder Service Expectations,GV.OC-04.02,Critical business processes,"GV.OC-04.02: The organization documents the business processes that are critical for the delivery of services and the functioning of the organization, and the impacts to the business if those processes are degraded or not functioning.",EEE-016: Recovery Objectives and Strategic Alignment Documentation,"- Tools and templates used for formulating recovery strategies that support business objectives.
- A matrix aligning recovery time and point objectives with business priorities.
- Documentation from strategic planning sessions focused on recovery objectives.
- Signed approvals from management endorsing the proposed recovery strategies.
- Periodic review reports assessing the alignment of recovery objectives with business needs."
006.009,GOVERN / Organizational Context / Stakeholder Service Expectations,GV.OC-04.03,Critical service delivery resilience,"GV.OC-04.03: Resilience requirements to support the delivery of critical services are established for all operating states (e.g., under duress/attack, during recovery, and normal operations).",EEE-013: Operational Resilience and Continuity Procedures Documentation,"- Standard operating procedures (SOPs) for responding to incidents that threaten resilience and continuity.
- Business continuity plan outlining procedures for maintaining service delivery during disruptions.
- Recovery time objectives (RTOs), recovery point objectives (RPOs), maximum tolerable downtime (MTO), impact tolerance, and/or other recovery objective metrics are established for key services.
- Communication plans for stakeholders during a service disruption, to include alternative communication mechanisms.
- Contingency plans detailing alternative service delivery methods.
- Training records for staff on resilience and continuity procedures and their roles during incidents."
006.009,GOVERN / Organizational Context / Stakeholder Service Expectations,GV.OC-04.03,Critical service delivery resilience,"GV.OC-04.03: Resilience requirements to support the delivery of critical services are established for all operating states (e.g., under duress/attack, during recovery, and normal operations).",EEE-014: Resilience and Continuity Design and Assessment Documents,"- A documented methodology for evaluating the resilience and continuity of business operations and IT systems.
- Workbooks or diagrams that visually depict the dependencies of critical business processes.
- Risk impact studies with mitigation strategies for critical functions.
- Meeting minutes from design reviews focused on enhancing system resilience and continuity.
- Industry benchmarking reports comparing the organization's resilience and continuity capabilities.
- Checklists used for auditing the content and coverage of resilience and continuity plans."
006.009,GOVERN / Organizational Context / Stakeholder Service Expectations,GV.OC-04.03,Critical service delivery resilience,"GV.OC-04.03: Resilience requirements to support the delivery of critical services are established for all operating states (e.g., under duress/attack, during recovery, and normal operations).",EEE-016: Recovery Objectives and Strategic Alignment Documentation,"- Tools and templates used for formulating recovery strategies that support business objectives.
- A matrix aligning recovery time and point objectives with business priorities.
- Documentation from strategic planning sessions focused on recovery objectives.
- Signed approvals from management endorsing the proposed recovery strategies.
- Periodic review reports assessing the alignment of recovery objectives with business needs."
